Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
AVYAN,2026-03-11,1039.0,1045.0,1002.0,1029.0,-0.96,11811.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-09,999.3,1039.5,999.3,1039.5,4.02,30.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-03,960.2,980.0,960.0,979.8,2.04,4729.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVYAN,2026-03-01,955.0,975.0,933.1,975.0,2.09,5539.0,1225.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-19,930.0,954.0,930.0,943.0,1.4,109303.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-17,926.0,950.0,926.0,939.0,1.4,45505.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-16,930.0,962.0,925.3,943.0,1.4,55222.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-15,960.0,969.0,926.1,939.8,-2.1,108492.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-12,964.4,1003.0,959.9,965.0,0.06,85676.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-11,1037.0,1037.0,980.1,984.0,-5.11,62790.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-09,984.3,1050.0,984.3,1038.0,5.46,6402.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-03,940.0,968.2,931.2,965.0,2.66,75394.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDIPUR,2026-03-01,919.2,951.0,902.0,940.0,2.26,59901.0,1233.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-19,383.5,401.5,377.2,393.0,2.48,580488.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-17,365.1,376.3,363.0,376.0,2.99,191406.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-16,366.4,379.9,366.3,366.5,0.03,224006.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-15,380.0,380.0,370.0,373.7,-1.66,146108.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-12,367.0,377.3,367.0,375.0,2.18,206664.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-11,367.0,381.3,367.0,369.0,0.54,220773.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-09,363.1,391.6,363.1,389.0,7.13,9867.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-03,353.7,358.0,342.9,356.0,0.65,110562.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARUN,2026-03-01,340.1,347.5,339.0,346.8,1.97,81308.0,589.0,292.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-19,4910.0,4910.0,4794.0,4858.0,-1.06,872.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-17,4918.0,4918.0,4773.0,4843.0,-1.53,222.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-16,4890.0,4890.0,4792.2,4858.6,-0.64,470.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-15,4720.0,5187.0,4701.0,4867.0,3.11,1802.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-12,4701.0,4789.9,4701.0,4726.0,0.53,378.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-11,4792.6,4886.9,4710.0,4715.9,-1.6,815.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-09,4713.0,5000.0,4713.0,5000.0,6.09,70.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-03,4581.4,4748.9,4581.4,4621.0,0.86,1051.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,2026-03-01,4601.0,4696.5,4582.0,4668.0,1.46,301.0,6661.6,4480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-19,538.0,545.7,526.0,533.5,-0.84,30241.0,929.1,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-17,540.0,540.0,525.0,538.5,-0.28,14882.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-16,545.0,545.4,529.0,532.0,-2.39,6037.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-15,530.0,541.0,526.2,540.0,1.89,23188.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-12,520.0,531.4,520.0,528.0,1.54,16744.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-11,539.0,539.0,520.4,521.0,-3.34,11828.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-09,533.3,543.9,533.3,543.9,1.99,20.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-03,508.0,525.0,500.0,522.9,2.93,4326.0,960.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDC,2026-03-01,510.0,517.9,510.0,517.9,1.55,5407.0,960.0,501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2026-03-19,480.0,504.0,480.0,502.0,4.58,60059.0,594.9,411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2026-03-17,475.0,489.0,475.0,486.0,2.32,15398.0,604.8,411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2026-03-16,488.0,494.7,481.1,484.0,-0.82,19786.0,604.8,411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2026-03-15,504.9,504.9,486.1,487.0,-3.55,25980.0,604.8,411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2026-03-12,495.0,495.1,483.0,495.0,0.0,32069.0,604.8,411.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
