Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,Open_Qty,Avg_Cost,Latest_Close,Realized_PnL,Unrealized_PnL,Total_PnL,Total_PnL_%
NHDL,2026-03-25,688.0,688.0,671.0,680.0,-1.16,9371.0,881.0,623.0,,,,,,,
NHPC,2026-03-25,309.0,309.0,298.0,301.2,-2.52,691946.0,327.4,178.6,,,,,,,
NIBD84,2026-03-25,1054.0,1054.0,1054.0,1054.0,0.0,25.0,1130.0,1013.1,,,,,,,
NIBLGF,2026-03-25,9.85,10.0,9.66,10.0,1.52,26500.0,11.03,7.84,,,,,,,
NIBLSTF,2026-03-25,9.52,9.87,9.4,9.87,3.68,43890.0,10.08,7.85,,,,,,,
NIBSF2,2026-03-25,9.65,9.8,9.65,9.8,1.55,11967.0,10.52,8.06,,,,,,,
NICA,2026-03-25,387.0,404.9,387.0,398.0,2.84,498555.0,428.4,304.5,,,,,,,
NICAD2091,2026-03-25,1051.1,1051.1,1051.1,1051.1,0.0,25.0,1102.6,1005.2,,,,,,,
NICBF,2026-03-25,10.28,10.45,9.5,10.45,1.65,2900.0,11.17,8.48,,,,,,,
NICFC,2026-03-25,9.53,9.7,9.53,9.7,1.78,4590.0,10.4,8.37,,,,,,,
NICGF2,2026-03-25,9.51,9.8,9.51,9.8,3.05,166673.0,9.98,8.33,,,,,,,
NICL,2026-03-25,542.0,552.8,538.0,540.0,-0.37,43009.0,858.9,483.0,,,,,,,
NICLBSL,2026-03-25,661.0,669.0,646.0,646.0,-2.27,37207.0,764.0,535.0,,,,,,,
NICSF,2026-03-25,9.6,9.6,9.32,9.52,-0.83,16494.0,9.99,8.04,,,,,,,
NIFRA,2026-03-25,294.0,297.0,289.0,289.0,-1.7,520333.0,328.1,249.9,,,,,,,
NIFRAGED,2026-03-25,1035.0,1035.1,1032.5,1035.1,0.01,114.0,1137.2,948.0,,,,,,,
NIL,2026-03-25,677.0,682.0,665.0,672.8,-0.62,21998.0,783.9,562.0,,,,,,,
NIMB,2026-03-25,232.5,232.5,221.4,223.8,-3.74,474499.0,247.0,184.2,,,,,,,
NIMBPO,2026-03-25,169.0,170.0,167.0,170.0,0.59,121958.0,184.5,150.0,,,,,,,
NLG,2026-03-25,701.0,701.0,688.1,688.5,-1.78,50734.0,976.2,655.0,,,,,,,
NLIC,2026-03-25,835.0,835.0,821.0,825.0,-1.2,65754.0,890.0,702.0,,,,,,,
NLICL,2026-03-25,636.0,636.0,600.0,618.0,-2.83,102641.0,691.0,539.0,,,,,,,
NMB,2026-03-25,264.0,272.0,262.2,265.7,0.64,142378.0,283.0,231.0,,,,,,,
NMB50,2026-03-25,10.31,10.69,10.3,10.65,3.3,34889.0,11.93,9.75,,,,,,,
NMBHF2,2026-03-25,9.81,10.19,9.81,9.92,1.12,14795.0,10.2,8.16,,,,,,,
NMBMF,2026-03-25,712.0,719.9,700.0,706.3,-0.8,6457.0,835.0,596.0,,,,,,,
NMFBS,2026-03-25,1200.0,1208.8,1195.0,1199.0,-0.08,5247.0,1504.0,1086.0,,,,,,,
NMIC,2026-03-25,1348.2,1364.0,1339.0,1348.0,-0.01,7275.0,2703.3,302.3,,,,,,,
NMLBBL,2026-03-25,680.0,680.0,660.0,665.0,-2.21,18911.0,807.0,600.0,,,,,,,
NRIC,2026-03-25,1300.0,1300.0,1265.0,1267.8,-2.48,55588.0,1842.0,1146.0,,,,,,,
NRM,2026-03-25,455.6,459.8,448.6,451.0,-1.01,18221.0,590.0,390.1,,,,,,,
NRN,2026-03-25,1611.0,1644.0,1604.0,1609.0,-0.12,236336.0,2444.0,1327.0,,,,,,,
NSIF2,2026-03-25,10.93,11.2,10.93,10.98,0.46,324691.0,11.93,9.75,,,,,,,
NSY,2026-03-25,9.8,9.85,9.61,9.71,-0.92,18980.0,10.19,9.35,,,,,,,
NTC,2026-03-25,932.0,932.0,895.0,895.0,-3.97,16089.0,942.5,762.5,,,,,,,
NUBL,2026-03-25,740.0,750.0,703.5,728.0,-1.62,41076.0,854.4,650.0,,,,,,,
NWCL,2026-03-25,915.0,918.4,897.0,908.0,-0.77,6003.0,1045.0,740.2,,,,,,,
NYADI,2026-03-25,450.0,454.9,437.3,441.0,-2.0,21656.0,663.9,354.0,,,,,,,
OHL,2026-03-25,765.0,770.0,751.0,751.0,-1.83,6657.0,1049.5,633.1,,,,,,,
OMPL,2026-03-25,1322.0,1366.7,1322.0,1366.6,3.37,11222.0,2167.2,270.0,,,,,,,
PBD84,2026-03-25,1145.0,1145.0,1145.0,1145.0,0.0,100.0,1182.0,1063.5,,,,,,,
PBD88,2026-03-25,1176.1,1199.6,1176.1,1199.6,2.0,50.0,1274.0,1099.7,,,,,,,
PCBL,2026-03-25,262.0,275.9,261.0,264.0,0.76,134630.0,290.0,226.0,,,,,,,
PFL,2026-03-25,441.0,441.0,426.0,429.0,-2.72,29825.0,475.5,352.8,,,,,,,
PHCL,2026-03-25,355.0,355.0,341.2,343.0,-3.38,228003.0,649.0,249.7,,,,,,,
PMHPL,2026-03-25,382.2,428.0,382.2,428.0,11.98,74136.0,468.0,278.0,,,,,,,
PMLI,2026-03-25,520.0,520.0,510.0,510.0,-1.92,15854.0,589.6,445.0,,,,,,,
PMLIP,2026-03-25,270.0,270.0,270.0,270.0,0.0,10320.0,309.0,270.0,,,,,,,
PPCL,2026-03-25,450.0,450.0,432.6,435.6,-3.2,107238.0,462.0,284.1,,,,,,,
PPCL,,,,,,,,,,10.0,390.0,435.6,-8000.0,456.0,-7544.0,-193.44
PPL,2026-03-25,400.0,404.9,392.0,392.0,-2.0,81929.0,547.7,263.2,,,,,,,
PRIN,2026-03-25,780.0,780.0,760.0,762.6,-2.23,17512.0,960.3,630.0,,,,,,,
PROFL,2026-03-25,501.1,508.0,493.0,496.0,-1.02,35963.0,589.2,421.4,,,,,,,
PRSF,2026-03-25,11.75,12.06,11.75,12.06,2.64,700582.0,12.2,9.85,,,,,,,
PRVU,2026-03-25,224.6,231.5,222.9,223.1,-0.67,392802.0,250.9,179.9,,,,,,,
PSF,2026-03-25,11.75,11.95,11.75,11.86,0.94,16250.0,12.11,9.86,,,,,,,
PURE,2026-03-25,992.6,1040.0,992.6,1014.0,2.16,33475.0,1327.9,289.3,,,,,,,
RADHI,2026-03-25,908.0,922.0,894.0,899.9,-0.89,369645.0,940.0,375.1,,,,,,,
RAWA,2026-03-25,710.2,718.9,710.2,718.8,1.21,2392.0,913.8,686.0,,,,,,,
RBBD2088,2026-03-25,1043.8,1070.0,1043.7,1070.0,2.51,125.0,1100.0,967.6,,,,,,,
RBBD83,2026-03-25,1035.2,1035.2,1035.2,1035.2,0.0,25.0,1100.0,1025.7,,,,,,,
RBBF40,2026-03-25,9.9,10.0,9.56,9.65,-2.53,3920.0,10.2,8.98,,,,,,,
RBCL,2026-03-25,16240.0,16240.0,15700.0,15700.0,-3.33,323.0,16900.0,14251.0,,,,,,,
RBCLPO,2026-03-25,13000.0,13000.0,12751.0,12751.0,-1.92,40.0,13530.0,11025.0,,,,,,,
RFPL,2026-03-25,435.0,441.9,421.0,424.0,-2.53,235073.0,785.0,306.0,,,,,,,
RHGCL,2026-03-25,326.1,336.6,322.0,323.0,-0.95,137547.0,601.0,217.2,,,,,,,
RHPL,2026-03-25,322.9,322.9,312.1,312.2,-3.31,113416.0,457.0,252.3,,,,,,,
RIDI,2026-03-25,355.0,367.0,352.5,356.9,0.54,732605.0,380.1,203.5,,,,,,,
RLFL,2026-03-25,514.9,514.9,490.0,493.0,-4.25,59939.0,576.0,398.0,,,,,,,
