Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
CZBILP,2025-05-06,111.0,111.0,111.0,111.0,0.0,4440000.0,115.52380952380952,115.80392156862746,0.0,False,True,Sell
PBLD84,2025-05-04,1115.0,1115.0,1115.0,1115.0,0.0,111500.0,1099.5057049133732,1098.9408316186402,63.863829615490104,True,False,Buy
GBIMEP,2025-04-30,120.0,120.0,120.0,120.0,0.0,18000000.0,121.80952380952381,121.92156862745098,0.0,False,True,Sell
HURJA,2025-04-30,242.7,264.9,242.7,260.89,7.49,161095330.0,244.81853212760265,243.9347598002556,69.6571205503578,True,False,Buy
LBLD88,2025-04-28,1072.0,1078.0,1072.0,1078.0,0.56,57056.0,1039.2476245273074,1038.5501384376373,62.872620209405035,True,False,Buy
BFCPO,2025-04-24,343.0,343.0,336.2,336.2,-1.98,9886909.0,348.6857154482887,349.4588240081189,0.0,False,True,Sell
PBD84,2025-04-24,1092.1,1113.9,1092.1,1113.9,2.0,12252.9,1077.4581149986439,1076.8145937513234,69.11764566938805,True,False,Buy
NMB,2025-04-24,245.0,245.0,239.0,242.06,-1.2,14929803.0,250.66571062173753,250.89907357910874,28.518729878215908,False,True,Sell
SHL,2025-04-22,508.9,513.0,498.0,508.23,-0.13,54461040.0,495.6380154093167,495.5639492969264,63.558166433311015,True,False,Buy
CCBD88,2025-04-20,1138.2,1192.0,1138.2,1157.0,1.65,568746.0,1141.3483093157247,1140.9934094735836,60.09824250920857,True,False,Buy
SCBD,2025-04-16,1100.2,1100.2,1100.2,1100.2,0.0,27505.0,1085.6961121543422,1085.0410798934008,56.60014050251676,True,False,Buy
CIZBD86,2025-04-16,1116.0,1116.0,1116.0,1116.1,0.01,1116.1,1114.4005140697234,1114.3294757668766,51.120138628187576,True,False,Buy
NMBD2085,2025-04-16,1100.0,1100.0,1100.0,1104.0,0.36,1104.0,1088.860206417929,1088.4022916501,69.2025523478236,True,False,Buy
SAND2085,2025-04-16,1115.5,1115.8,1115.5,1115.55,0.0,142790.6,1089.614023159331,1089.2814392805963,59.90696335901276,True,False,Buy
HBLD86,2025-04-13,1130.0,1140.0,1130.0,1140.0,0.88,56750.0,1119.883702461989,1119.8015329834934,59.022521023828915,True,False,Buy
PBD85,2025-04-13,1042.0,1065.0,1042.0,1065.0,2.21,135688.3,1037.346952491717,1037.0476284366323,69.32981176714875,True,False,Buy
BOKD86,2025-04-09,1030.0,1040.0,1028.0,1040.0,0.97,77450.0,1031.182821475716,1030.9408827962857,42.61447030101082,True,False,Buy
MBLD2085,2025-04-08,1195.0,1195.0,1195.0,1171.1,-2.0,3513.3,1192.7238071986608,1194.062744140625,0.0,False,True,Sell
SBLD89,2025-04-07,1230.2,1254.0,1230.2,1253.33,1.88,18800.0,1197.0869385121007,1195.3237510873967,68.98777489417444,True,False,Buy
GBILD86/87,2025-04-07,1034.0,1048.5,1034.0,1048.5,1.4,208250.0,1028.6529765666457,1028.552763032846,51.67037998153991,True,False,Buy
JBBLPO,2025-04-03,187.0,187.0,187.0,187.0,0.0,2319548.0,188.1761932373047,188.2490225399242,0.0,False,True,Sell
EBLEB89,2025-04-02,1010.0,1010.0,1010.0,1010.0,0.0,50500.0,1013.7095017206101,1013.9391922296263,0.0,False,True,Sell
RBBD83,2025-04-02,1037.1,1037.1,1037.1,1037.1,0.0,25927.5,1029.9982615460228,1029.7223549149514,54.7714874032995,True,False,Buy
SBIBD86,2025-03-30,1110.4,1110.4,1110.4,1110.4,0.0,111040.0,1097.2946237937779,1097.0097081295044,53.12125628394761,True,False,Buy
SRBLD83,2025-03-30,1085.0,1085.0,1085.0,1085.0,0.0,147560.0,1066.7051232930146,1066.4356099217146,66.07142857142857,True,False,Buy
NHDL,2025-03-27,790.0,814.0,785.0,811.96,2.78,10366293.0,848.7491039287108,850.2963424111687,27.868634482288982,False,True,Sell
GBBD85,2025-03-26,1030.0,1030.0,1030.0,1036.0,0.58,27822.0,1031.9137358214175,1031.854490278347,50.33467224017963,True,False,Buy
MHCL,2025-03-25,511.3,527.0,495.3,498.55,-2.49,7209917.0,563.0274034321199,566.8324860472884,12.88021360528785,False,True,Sell
KBLD89,2025-03-25,1195.9,1222.0,1195.9,1222.0,2.18,22453612.0,1168.133488672798,1166.0845202193768,66.15215588034866,True,False,Buy
ALICL,2025-03-25,726.2,726.2,717.0,717.57,-1.19,12786330.0,751.8404756273213,753.1620661662366,11.802245914527887,False,True,Sell
NMBMF,2025-03-25,705.1,719.2,692.8,701.71,-0.48,4183654.0,748.3486863125443,749.6438347829869,18.217202853556117,False,True,Sell
PCBL,2025-03-25,256.3,256.3,247.0,247.09,-3.59,16863204.0,253.90531263766675,254.2746631442597,23.781929125599476,False,True,Sell
KDL,2025-03-25,1088.0,1097.0,1072.0,1079.52,-0.78,4136289.0,1154.5207086264322,1157.8947809772515,17.752407184519953,False,True,Sell
EDBL,2025-03-24,623.1,649.0,623.1,645.65,3.62,12449725.0,689.1016978474016,691.136968087326,17.793078118430984,False,True,Sell
JBBD87,2025-03-24,1043.1,1051.0,1043.1,1051.0,0.76,164749.7,1048.5615316501724,1048.4126047976604,37.00717982822666,True,False,Buy
MLBSL,2025-03-24,2190.0,2260.0,2190.0,2245.07,2.51,10085035.0,2320.097979300722,2324.26573071268,20.482692842713178,False,True,Sell
GLH,2025-03-23,246.0,248.0,239.0,240.15,-2.38,10305628.0,255.66606399755355,256.6051123931338,18.28570930325256,False,True,Sell
PROFL,2025-03-23,530.0,540.0,518.7,519.86,-1.91,14196168.0,564.6334438584895,567.3762314836124,5.1645848793802855,False,True,Sell
SPDL,2025-03-23,340.0,340.0,322.0,323.7,-4.79,24568960.0,342.7067357125434,343.2581609072006,11.977532546186367,False,True,Sell
EHPL,2025-03-23,760.3,790.6,745.0,752.09,-1.08,3612291.5,814.1494957211996,817.855947379336,24.21632686954794,False,True,Sell
UAIL,2025-03-23,647.2,660.0,639.0,639.18,-1.24,10764785.0,679.1977228298915,680.0042770719326,23.593928243801216,False,True,Sell
SMB,2025-03-23,2690.1,2712.0,2561.3,2566.8,-4.58,9628292.0,2771.68442836294,2778.7338435029806,15.804146143484232,False,True,Sell
NICL,2025-03-20,865.3,877.8,848.0,850.08,-1.76,17357738.0,982.54386729716,988.9021985210615,26.223032238370195,False,True,Sell
JBLB,2025-03-20,1342.0,1353.0,1342.0,1346.67,0.35,3735485.5,1383.2205090739044,1383.2666835548741,19.454685994236215,False,True,Sell
HLBSL,2025-03-20,989.0,989.0,960.1,969.4,-1.98,1860769.4,1016.7391516042335,1018.1137452651851,28.92749122849881,False,True,Sell
HHL,2025-03-19,510.0,524.0,500.5,509.9,-0.02,5550665.5,552.2352133717357,554.288881014919,13.043474414925129,False,True,Sell
SMPDA,2025-03-17,939.7,964.0,939.7,940.0,0.03,5393550.5,969.8693425861826,971.2928221138183,21.014492753623188,False,True,Sell
CLI,2025-03-16,565.0,565.0,539.0,539.0,-4.6,38319784.0,695.6507152345242,703.9441688888006,8.022806267174843,False,True,Sell
SDBD87,2025-03-16,1035.3,1060.8,1035.3,1060.8,2.46,290039.0,1050.0481226634304,1049.9222019732085,54.39643504267906,True,False,Buy
SPHL,2025-03-16,775.0,795.0,766.0,780.0,0.65,1665944.5,822.0476963576182,822.1700346083104,28.39250385026729,False,True,Sell
AHL,2025-03-16,715.0,725.0,681.1,698.0,-2.38,2429321.0,770.8826151355588,774.9840326778279,8.92857142857143,False,True,Sell
MCHL,2025-03-16,583.1,611.0,583.1,595.0,2.04,3869159.5,628.302700001535,630.2319516398196,19.318181818181813,False,True,Sell
FMDBLP,2025-03-16,370.0,370.0,370.0,280.5,-24.19,39270000.0,361.4761904761905,366.4901960784314,0.0,False,True,Sell
MSLBP,2025-03-12,909.3,909.3,909.3,909.3,0.0,3310761.2,926.0380830310639,927.0744975968903,0.0,False,True,Sell
SBLD83,2025-03-12,1079.0,1079.0,1079.0,1057.6,-1.98,1057.6,1076.961902436756,1078.1607833563114,0.0,False,True,Sell
SPL,2025-03-09,935.9,973.6,920.5,925.0,-1.16,6032755.0,974.2876566692837,975.4796224217575,17.12802073928586,False,True,Sell
NBLD82,2025-03-09,1101.0,1101.0,1080.0,1080.0,-1.91,10776639.0,1119.085670107887,1121.5058354396444,0.0,False,True,Sell
USHL,2025-03-06,794.0,810.0,776.0,776.0,-2.27,4090128.0,810.5129310616445,811.1875581146419,27.124195174103022,False,True,Sell
RHGCL,2025-03-06,643.0,699.0,623.3,699.0,8.71,25557048.0,661.9714591506374,660.0379189227666,51.229508196721305,True,False,Buy
AKPL,2025-03-05,253.8,253.8,245.0,246.0,-3.07,52722164.0,240.42986344314673,240.17976835264432,60.803067864302314,True,False,Buy
SBLD84,2025-03-04,1035.0,1035.0,1035.0,1035.0,0.0,25875.0,1028.7994581390212,1028.6484670385685,58.79123643058597,True,False,Buy
NIBD2082,2025-03-04,1105.5,1105.5,1090.0,1090.0,-1.4,638777.0,1124.3809523809523,1126.5098039215686,0.0,False,True,Sell
SCB,2025-03-03,680.1,689.0,677.0,677.1,-0.44,35278460.0,670.5822012082243,670.5084594751937,51.8388585672659,True,False,Buy
PRVUPO,2025-02-27,117.6,117.6,117.6,117.6,0.0,8114400.0,119.77142842610677,119.90588229310279,0.0,False,True,Sell
NBBD2085,2025-02-27,1142.0,1142.0,1142.0,1142.0,0.0,17130.0,1162.176234654018,1163.425537109375,0.0,False,True,Sell
MBJC,2025-02-25,344.0,352.9,340.2,342.0,-0.58,19277342.0,353.239765832853,353.7204051715322,9.269634988941661,False,True,Sell
HBLD83,2025-02-25,1060.0,1060.0,1060.0,1060.0,0.0,53000.0,1078.095238095238,1079.2156862745098,0.0,False,True,Sell
SWMF,2025-02-20,829.2,829.2,799.9,814.0,-1.83,3037385.0,784.0348728973607,782.8505024903452,66.94444444444444,True,False,Buy
KSBBLP,2025-02-18,182.3,182.3,178.7,178.7,-1.97,3832006.5,181.95714532761346,182.15882634181602,0.0,False,True,Sell
LBBLD89,2025-02-10,1175.0,1175.0,1152.0,1152.0,-1.96,210605.0,1190.904761904762,1193.3137254901962,0.0,False,True,Sell
EBLD85,2025-02-10,1155.0,1155.0,1155.0,1155.0,0.0,11550.0,1175.1394275019152,1176.2459136099583,4.166666666666657,False,True,Sell
LSLPO,2025-02-06,103.8,103.8,100.0,100.0,-3.66,50005600.0,105.33809661865234,105.66862891702091,0.0,False,True,Sell
NICAD85/86,2025-02-05,1060.0,1060.0,1060.0,1058.3,-0.16,26491.5,1060.8333158947173,1060.9901745366114,0.0,False,True,Sell
EBLD86,2025-02-05,1029.1,1029.1,1029.0,1029.0,-0.01,51452.5,1027.0283986610516,1027.0160044025301,54.76190476190476,True,False,Buy
SICLPO,2025-02-04,461.0,461.0,461.0,461.0,0.0,27660000.0,469.14285714285717,469.6470588235294,0.0,False,True,Sell
KBLD90,2025-02-03,1197.9,1197.9,1145.0,1145.0,-4.42,63148.0,1192.8619268508185,1195.8255136527268,0.0,False,True,Sell
NICD83/84,2025-02-03,1100.0,1100.0,1078.0,1078.0,-2.0,54450.0,1095.642857142857,1096.735294117647,0.0,False,True,Sell
NIL,2025-02-02,786.5,830.0,786.5,801.0,1.84,22076700.0,921.3798686139962,925.8813424685046,18.577981651376135,False,True,Sell
HRL,2025-01-26,859.0,890.1,855.1,863.1,0.48 %,212046.0,823.3025943424759,823.0444679814292,69.24790406293523,True,False,Buy
BNL,2025-01-23,18000.0,19800.0,18000.0,19005.6,5.59 %,100.0,16907.788383409927,16831.796672896777,65.07716197603321,True,False,Buy
GCIL,2025-01-22,512.0,520.0,506.5,509.1,-0.57 %,53802.0,495.1644603012756,495.07218425765,63.06306691598012,True,False,Buy
PRIN,2025-01-22,1014.9,1014.9,992.3,998.0,0.00 %,22298.0,975.3094928482203,974.5233467432647,68.84919721854209,True,False,Buy
SMJC,2025-01-19,587.9,591.0,570.0,586.0,1.03 %,57911.0,551.6752812001093,549.8051421682105,69.69058341388374,True,False,Buy
MSLB,2024-12-23,1473.0,1500.0,1453.0,1466.0,-0.95 %,3835.0,1602.0557663987165,1608.6900743021936,6.916545995688864,False,True,Sell
NEPSE,2024-12-22,2587.3,2614.28,2569.0,2583.29,-0.52 %,4518385000.0,2671.1100440202454,2672.159146646253,26.410626228888418,False,True,Sell
SHEL,2024-12-22,242.5,244.0,235.0,235.0,-2.00 %,96400.0,251.16452419912162,251.61113509754878,26.503751311481906,False,True,Sell
LIFEINSU,2024-12-19,12639.12,12683.89,12477.38,12506.48,-1.05 %,228926200.0,13065.535195495386,13084.602298085783,28.757033767949665,False,True,Sell
UNLB,2024-12-18,2600.0,2600.0,2450.0,2515.0,-1.37 %,3446.0,2605.9071726170687,2607.845898476029,20.88384542637374,False,True,Sell
MICROFINANCE,2024-12-16,4947.2,4947.2,4829.37,4847.68,-1.87 %,310137120.0,5025.603208187315,5031.990514453063,25.830773214794718,False,True,Sell
AHPC,2024-12-16,270.0,270.0,253.5,255.0,-3.81 %,193762.0,273.0490827823056,273.3870797580965,27.58620689655173,False,True,Sell
CHCL,2024-12-16,550.2,560.0,550.2,557.0,-0.54 %,32071.0,574.3318824656872,575.2781954114961,26.91294363189543,False,True,Sell
HLI,2024-12-09,460.0,465.1,458.0,460.0,-0.65 %,46967.0,475.87273869001433,476.774739815748,25.786147829252485,False,True,Sell
PRVU,2024-12-05,231.0,234.0,229.4,230.4,-0.17 %,94745.0,237.7328684624846,237.90607957791994,28.488354298656375,False,True,Sell
BANKING,2024-12-03,1479.01,1481.37,1452.0,1459.44,-0.20 %,572554240.0,1498.1281673403914,1498.1706271643704,21.46848251583897,False,True,Sell
FOWAD,2024-12-02,1348.0,1357.0,1336.0,1352.0,0.30 %,4383.0,1475.1104677807339,1475.8677687149266,22.168601541039266,False,True,Sell
API,2024-12-02,283.0,293.0,283.0,286.5,0.28 %,204411.0,293.2034950517368,293.24750574102256,20.96316276335469,False,True,Sell
GBIME,2024-12-01,237.0,237.0,232.0,233.0,-1.69 %,75953.0,247.07546451719156,247.24012169825497,16.788365610655447,False,True,Sell
ADBL,2024-11-25,357.0,357.0,350.0,351.9,0.54 %,32139.0,363.2385208676451,363.4496526531056,19.87379000620942,False,True,Sell
SIKLES,2024-11-14,744.0,784.0,739.0,770.0,3.77 %,32531.0,718.73730009742,716.9866345654073,63.76811302843362,True,False,Buy
ALBSL,2024-11-10,954.3,979.9,929.7,945.0,1.00 %,15438.0,1043.2107332779492,1043.9258146425261,26.361564642810322,False,True,Sell
LICN,2024-10-28,1236.2,1333.2,1236.2,1270.0,4.79 %,153977.0,1922.2360204747004,1956.2058460715973,8.173562058526727,False,True,Sell
PPL,2024-09-29,468.0,469.0,428.0,437.0,-6.82 %,45200.0,511.20256134695234,512.2063835812226,18.630275535080585,False,True,Sell
MAKAR,2024-09-29,465.0,474.3,432.2,432.2,-8.82 %,11244.0,508.35326531195324,508.9504711752121,28.38638369426222,False,True,Sell
SAHAS,2024-09-24,520.0,529.9,510.3,515.0,-1.89 %,37257.0,586.0897351591897,590.3474523883785,27.63713080168776,False,True,Sell
SPC,2024-09-10,560.0,577.9,552.0,557.0,1.25 %,4104.0,598.6368385630601,599.651205086689,29.28305871307913,False,True,Sell
VLBS,2024-08-27,950.0,992.0,920.0,931.0,-3.02 %,6047.0,999.8793713267553,1000.8329485634774,28.57142857142857,False,True,Sell
CHL,2024-07-16,307.8,344.7,307.8,337.5,7.48 %,131569.0,316.8381799755855,315.95109134292,65.33922679785927,True,False,Buy
PPCL,2024-07-15,248.0,258.0,243.0,253.9,3.13 %,71273.0,238.7483681942767,238.6162026755918,62.84657331635781,True,False,Buy
GHL,2024-07-11,156.0,159.6,153.0,158.8,3.12 %,306490.0,150.119841461194,150.11381515400922,69.40297785143993,True,False,Buy
MNBBL,2024-07-09,350.1,367.2,350.0,358.4,1.53 %,62211.0,348.9492996052704,348.4999266343211,63.7404537917804,True,False,Buy
CBBL,2024-07-09,850.0,872.0,845.3,870.0,1.75 %,25052.0,841.3108437161534,841.1647623781517,64.00414583093266,True,False,Buy
SHINE,2024-07-04,398.3,407.0,385.0,404.0,3.46 %,340626.0,385.42368630276985,384.84223402305895,63.58695351709482,True,False,Buy
LBBL,2024-07-04,396.0,412.9,395.0,403.0,3.33 %,177984.0,382.95396189281473,381.92275914535423,61.432931084211795,True,False,Buy
STC,2024-07-03,4750.0,5170.0,4750.0,4997.0,6.32 %,23033.0,4655.421223100674,4634.858029574875,61.709739602051826,True,False,Buy
TVCL,2024-07-01,479.3,495.0,479.3,491.0,0.41 %,15624.0,473.5380433053407,473.3374225414704,47.02041314572704,True,False,Buy
HPPL,2024-06-23,270.0,280.0,267.1,277.0,4.53 %,80245.0,262.6065935906711,262.2344171011334,66.9491613092772,True,False,Buy
MFIL,2024-06-19,518.8,524.0,512.0,520.0,1.56 %,29790.0,511.03413031396724,510.5854799512946,65.90911516020675,True,False,Buy
RADHI,2024-06-13,254.0,270.0,250.9,265.0,4.33 %,191220.0,239.992888605951,238.62468729045398,68.51851851851852,True,False,Buy
TSHL,2024-06-10,523.0,550.0,516.0,535.0,3.88 %,29045.0,513.3710862146501,512.4540878963945,59.142052661059616,True,False,Buy
TAMOR,2024-06-02,374.0,395.0,371.6,385.0,2.94 %,29631.0,377.347113248333,377.3444916625007,63.11188531368543,True,False,Buy
SSIS,2024-05-29,9.34,9.34,9.34,9.34,0.00 %,0.0,8.961546836475769,8.955141307020828,57.812508537127506,True,False,Buy
JBBL,2024-05-21,302.0,303.0,296.1,297.2,-0.23 %,36633.0,293.9649733313895,293.772953732767,40.66986833632425,True,False,Buy
MHL,2024-05-21,430.0,465.0,429.1,453.0,6.09 %,49392.0,408.51211680295376,406.6919832211689,69.168029918185,True,False,Buy
SNLI,2024-05-09,475.0,475.0,453.0,455.0,-3.38 %,45891.0,578.9982570365295,585.7610501863579,13.479987496918994,False,True,Sell
MKCL,2024-05-06,826.4,838.0,820.0,820.2,-2.36 %,5323.0,881.4785786017534,884.9651262522436,21.601687374565188,False,True,Sell
FMDBL,2024-05-05,634.0,658.0,631.0,638.0,0.63 %,104846.0,616.6919041135034,616.0054728481273,57.71144278606966,True,False,Buy
DEVBANK,2024-05-02,4207.11,4287.98,4100.98,4110.51,-2.04 %,417902370.0,3968.4253128772198,3966.142682779305,58.98875413527203,True,False,Buy
NRN,2024-04-03,516.5,540.0,514.0,524.0,1.55 %,23595.0,540.5827929897636,541.2879806357894,19.55508735016396,False,True,Sell
HYDROPOWER,2024-04-02,2476.15,2485.32,2449.54,2459.57,-0.80 %,670970050.0,2512.3887138569303,2512.922960084834,22.78122321985768,False,True,Sell
WNLB,2024-03-10,795.0,869.0,795.0,869.0,10.00 %,4289.0,814.7813997185724,812.7019942590848,55.506472345433146,True,False,Buy
BBC,2024-03-03,4081.0,4320.0,3884.0,4000.0,-3.87 %,1287.0,3769.418005000328,3756.1596198453094,63.04425937940495,True,False,Buy
BPCL,2024-02-25,310.0,316.0,300.3,300.5,-1.15 %,11107.0,310.71612968262747,310.8203346208123,29.965122708519417,False,True,Sell
MDB,2024-01-14,422.9,422.9,410.0,415.0,0.00 %,16911.0,402.06455129209047,401.5728357748726,48.88392826732316,True,False,Buy
SKBBL,2024-01-10,884.0,885.0,873.1,880.0,1.50 %,13182.0,910.0570628086693,911.5579429600176,26.426557272739842,False,True,Sell
RBCL,2023-12-18,14250.0,14400.0,14181.0,14388.0,0.37 %,903.0,13864.292831488658,13839.674563952274,69.90501779559585,True,False,Buy
GFCL,2023-12-18,438.6,472.0,438.6,469.0,9.07 %,45967.0,423.5243475202255,421.49527854927663,65.23545448781621,True,False,Buy
FINANCE,2023-12-14,1770.19,1782.79,1754.2,1779.46,0.36 %,104947980.0,1682.8730973528648,1678.5743175466168,64.68695937334928,True,False,Buy
UNHPL,2023-12-14,182.0,188.0,180.3,186.4,2.98 %,28476.0,171.79978419281534,171.00194154644473,64.29906216862027,True,False,Buy
