Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,Crossover
ICFC,2024-10-01,677.0,730.4,673.2,730.4,10.00 %,"79,659.00",705.231627329081,703.799396155298,50.51829268292683,True
MATRI,2024-09-23,1436.7,1540.0,1410.0,1540.0,5.05 %,"4,487.00",1485.8199914856248,1483.9524188069627,66.33252678880055,True
DLBS,2024-09-04,1290.0,1420.1,1290.0,1400.0,8.44 %,"24,561.00",1298.6794966154455,1297.6432376254118,59.03614457831324,True
HDL,2024-07-21,1439.0,1520.0,1410.0,1519.0,7.05 %,"100,783.00",1327.7321355069055,1327.3798982725377,93.85342789598108,True
SARBTM,2024-07-17,846.0,869.0,838.0,864.0,3.66 %,"101,874.00",809.0585144730353,806.0326328542278,76.81324957167331,True
AHPC,2024-07-17,199.5,208.0,195.6,203.0,3.78 %,"962,887.00",166.39771853082698,164.15070602090904,93.04635761589405,True
SAHAS,2024-07-16,521.0,539.0,515.0,538.8,3.82 %,"37,286.00",519.6709822834882,519.225225954828,69.33962264150942,True
CHCL,2024-07-16,456.3,503.0,456.2,498.0,7.10 %,"173,642.00",448.42127902002346,445.60354161322005,89.47368421052629,True
RIDI,2024-07-16,191.0,209.5,191.0,209.5,9.97 %,"577,489.00",173.5783261475413,172.52715788676383,87.70491803278688,True
SONA,2024-07-16,451.5,485.0,451.5,484.8,6.29 %,"207,132.00",451.06338959941957,449.9885088776701,80.90024330900245,True
SHPC,2024-07-16,343.0,360.0,335.4,354.0,4.27 %,"145,502.00",328.6612575528071,328.5773654365306,80.80438756855568,True
AKPL,2024-07-16,187.0,202.8,184.0,202.5,9.46 %,"436,992.00",170.80725493986318,169.04116403210813,89.50381679389314,True
MEL,2024-07-16,237.5,251.7,230.0,251.0,7.31 %,"237,403.00",228.26244269969607,226.98461914559581,80.0429184549356,True
BPCL,2024-07-15,312.0,324.0,302.0,310.0,0.06 %,"30,245.00",296.20674916750363,295.767051085652,85.39325842696618,True
NMLBBL,2024-07-15,732.0,743.0,718.1,720.2,-2.41 %,"27,095.00",702.515741403715,702.0582441630955,61.97183098591552,True
HDHPC,2024-07-15,149.0,158.0,147.2,149.0,1.98 %,"747,260.00",133.02560755892853,132.19355607696917,83.07210031347958,True
NHPC,2024-07-15,163.7,170.0,159.9,162.9,1.50 %,"366,412.00",147.21232645107185,146.92339179898852,77.23577235772356,True
RHPL,2024-07-15,287.0,306.0,284.0,295.0,2.61 %,"134,737.00",273.81904049182873,272.973067167263,73.14814814814815,True
NLIC,2024-07-15,631.0,631.0,612.0,619.0,0.00 %,"55,334.00",599.070446698721,598.8790102675824,77.98013245033106,True
LEC,2024-07-14,189.6,196.5,186.0,196.0,5.43 %,"155,664.00",183.6822303615111,183.54891445170045,75.00000000000003,True
