Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
MHNL,2025-06-25,266,290,261,283.93,,131039.0,379,234,263.1409828906459,262.6111783908325,65.20498105212857,38284.63333333333,0.5014281549201997,0.1688288621671404,True
EBLD86,2025-06-25,"1,077.00","1,077.10","1,077.00",1077.1,,300.0,"1,080.00",937,1054.543870685646,1053.1950073151872,63.549906657767714,80.93333333333334,0.15880787941946437,0.06825989165163264,True
CBLD88,2025-06-23,"1,178.00","1,178.00","1,178.00",1178.0,,200.0,"1,254.20","1,030.00",1145.4218493691615,1145.2805164518704,64.5561860712524,125.8,0.14765042679546242,-0.0172776232337128,True
PPCL,2025-06-18,334.4,345,328.3,340.33,,74017.0,367.2,221.6,332.46250636101223,332.24515096547617,63.331846266638955,46133.13333333333,0.39083045460282617,0.14255619638041708,True
TAMOR,2025-06-16,569,571,535,538.19,,135957.0,637,385,514.5793848056952,513.3956502476651,65.47469792350154,37146.666666666664,2.640246886465434,0.9179686042165031,True
OHL,2025-06-16,900,946,897,941.82,,84052.0,"1,205.00",746,900.6467776863034,898.5028595351034,59.08501754997221,42817.666666666664,1.0931244382350542,0.4219224276473142,True
LEC,2025-06-16,217,227.9,214.5,221.21,,527259.0,344,175.1,215.316881230402,215.26027188367985,64.09607952828308,140229.1,0.37900228092389626,0.13044045003056795,True
JBBL,2025-05-31,339,339.9,330.5,338.24,,36271.0,445,279.1,335.77464019681133,335.77061785446216,56.55087573132585,44496.5,0.24757311105895496,0.08119814526876326,True
SHINE,2025-05-30,415,415,410,413.78,,61175.0,625,373.2,410.44454366172266,410.41667067796504,65.5425873834316,47147.9,0.35413479587621166,0.1186195553428547,True
GBLBS,2025-05-29,800.5,821,800.5,817.34,,3817.0,987,667.1,809.8950366264964,809.8547182551027,68.4406712285982,7605.366666666667,1.8095814690295584,0.6509482834038863,True
ACLBSL,2025-05-28,"1,057.40","1,080.00","1,040.20",1075.19,,1787.0,"1,491.00",894.1,1061.356835310781,1060.9894995624547,67.26929257847317,2512.0666666666666,3.4156292331977056,1.204541391265866,True
LLBS,2025-05-27,"1,081.10","1,100.00","1,080.00",1082.04,,1378.0,"1,428.00",993,1066.9121200719637,1066.8417963884663,57.233059089906625,2027.8333333333333,2.7120335163777782,0.8862585198904981,True
HLBSL,2025-05-26,"1,032.80","1,032.80",985.1,987.36,,7988.0,"1,447.00",817,960.9807942486585,959.6644323191072,66.83119225179544,4424.133333333333,4.001452994901615,1.407098586033385,True
MEN,2025-05-24,590,623,590,604.82,,560957.0,809.5,552.4,581.0297930229967,580.5056016887015,64.73060441563628,144542.66666666666,2.10256099506787,0.7020050789558809,True
SKBBL,2025-05-24,814,815.5,796.1,811.31,,25077.0,"1,105.00",780.2,800.4352231535058,800.4056441140942,64.1691657774511,16454.866666666665,0.961089681202975,0.3138022189716594,True
NLICL,2025-05-22,645.8,645.8,625,631.09,,8549.0,776.1,528,624.4237432460608,624.3490925463667,63.76817562064769,17221.733333333334,0.9905047072801381,0.3338470649023293,True
NRIC,2025-05-22,"1,328.00","1,330.00","1,274.00",1301.52,,245616.0,"1,389.90",630.1,1251.0517029015546,1248.654676050744,66.90730227813555,132584.03333333333,7.4769508561831115,2.654817028936077,True
GBBL,2025-05-21,411.9,420,400,400.09,,28657.0,531.4,350.1,397.09759920862393,397.02400277543774,55.62981535867879,25263.8,0.17360503420794657,0.05538756805683533,True
BHPL,2025-05-18,"1,026.80","1,149.60",954,1124.34,,18507.0,"1,275.00",509.6,1043.2412357680266,1043.1312828853618,69.24509023152544,8850.733333333334,1.1740221230842962,0.2336401228719751,True
SGICP,2025-05-12,323,323,323,323.0,,36429.0,323,100,248.73975094542183,245.07433644216007,59.78552278820376,22824.8,9.64506096083071,3.4510991165772564,True
RHPL,2025-05-09,414.7,414.7,398.5,405.81,,72512.0,527,260.3,398.08151805479645,397.79960481907074,58.746247947483475,74375.43333333333,0.3131973293287501,0.09412145764558773,True
SANIMA,2025-05-08,307,311,305,306.06,,64704.0,382,230,303.7562265620017,303.6999534408414,47.846344375853214,64374.666666666664,0.006665339843834772,-0.002771374399378601,True
