Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52 Weeks High,52 Weeks Low,EMA_20,EMA_50,RSI,Buy_Signal,Sell_Signal,Signal
NIBD2082,2025-03-13,"1,047.00","1,047.00","1,047.00",1047.0,,10.0,"1,174.40","1,015.50",1105.6230709907527,1105.874705380977,16.27755092993543,False,True,Sell
BFCPO,2025-03-13,350,350,350,350.0,,54000.0,350,350,269.84470039998996,267.8112908320263,65.74803149606299,True,False,Buy
HHL,2025-03-12,535,553,531,538.0,,8651.0,635,318,572.4329925476462,573.5376763530837,14.094950384050449,False,True,Sell
UMRH,2025-03-12,658,665,653,660.0,,20632.0,790,325,698.386744811907,698.9389821767676,25.436674675867252,False,True,Sell
KPCL,2025-03-11,565,576,545,549.9,,20912.0,652.4,380.2,570.3400124909693,571.0943352739752,28.882463516226125,False,True,Sell
ULBSL,2025-03-10,"4,083.70","4,144.00","3,750.30",3876.0,,12163.0,"6,600.00","1,130.00",4660.159870356492,4702.348732251592,25.142857142857153,False,True,Sell
SMFBS,2025-03-09,"1,934.10","1,940.00","1,900.00",1901.0,,1475.0,"2,426.40",892,1990.6527279012234,1993.1027816371425,20.29850746268656,False,True,Sell
GMFBS,2025-03-09,"1,780.00","1,798.00","1,760.00",1785.0,,2047.0,"2,327.00",830,1831.4804743242073,1832.1712241999103,16.460276768223935,False,True,Sell
SHLB,2025-03-05,"2,350.00","2,498.00","2,350.00",2430.0,,3302.0,"2,907.00",832.2,2615.4250507783368,2621.4334834492543,18.44262295081967,False,True,Sell
SPHL,2025-03-05,816.5,829.9,809.1,809.1,,3974.0,922,443,840.6054411009168,841.3145575048317,24.21479906647818,False,True,Sell
PPL,2025-03-05,560.3,600,557.7,557.7,,37055.0,683.4,316.6,584.8920837563379,585.8570305646485,28.83355638233452,False,True,Sell
FOWAD,2025-03-04,"1,300.00","1,317.00","1,294.00",1294.1,,11499.0,"1,739.00",995,1273.39963530433,1272.6906701003481,65.4280840490253,True,False,Buy
NICD88,2025-03-04,"1,025.00","1,045.50","1,025.00",1045.5,,75.0,"1,083.00",935,1036.5923683095407,1036.4887641056612,63.84180790960452,True,False,Buy
NGPL,2025-03-04,300,300,289.7,292.0,,177210.0,571,250,288.5629799951058,288.4138234689973,57.57575757575758,True,False,Buy
SAMAJ,2025-03-03,"3,122.00","3,122.00","2,866.60",2866.6,,5265.0,"4,181.00","1,639.00",3437.7983988524857,3449.84767293315,12.346818770375052,False,True,Sell
CBBL,2025-02-28,886,904.7,880,896.0,,24055.0,"1,155.00",800,875.6840425370015,875.1215083788769,68.57142857142857,True,False,Buy
SPL,2025-02-27,972,980,960,970.0,,7200.0,"1,109.60",621,987.9365516471153,988.6701152944447,26.15384615384616,False,True,Sell
DORDI,2025-02-27,356.4,384.4,356.4,384.4,,4637.0,696,356.4,594.1317774434988,599.559209077291,7.297493158320464,False,True,Sell
JBBD87,2025-02-23,"1,070.00","1,070.00","1,070.00",1070.0,,250.0,"1,105.00",901.5,1055.751203668082,1055.443878904258,66.95821969566657,True,False,Buy
GSY,2025-02-23,9.14,9.2,9.06,9.06,,41080.0,10,9.05,9.213809149605888,9.223332909976735,0.0,False,True,Sell
PBD85,2025-02-21,"1,054.10","1,054.10","1,054.10",1054.1,,25.0,"1,080.00",882.2,1044.5212747189003,1044.1961305464754,62.10350090992274,True,False,Buy
MERO,2025-02-15,703,716,702,706.0,,11249.0,980,512,701.0027493259486,700.780159879434,63.83587141622463,True,False,Buy
SBD87,2025-02-13,"1,041.00","1,050.00","1,041.00",1050.0,,366.0,"1,080.00",869.3,1036.392885069396,1035.777807268461,59.13758832538332,True,False,Buy
GBILD86/87,2025-02-10,"1,044.00","1,060.00","1,044.00",1060.0,,249.0,"1,083.00",880,1034.7250200254828,1033.3536954788901,59.052934025859216,True,False,Buy
NIL,2025-02-02,801,830,801,801.0,,27590.0,"1,050.00",750,923.2483660899018,927.1565520011251,15.017456126981557,False,True,Sell
MLBLD89,2025-01-29,"1,163.00","1,163.00","1,163.00",1163.0,,103.0,"1,260.00","1,000.00",1189.2701205432227,1189.6318894191045,29.760536051823536,False,True,Sell
KBLD89,2025-01-26,"1,117.20","1,117.20","1,117.20",1117.2,,1.0,"1,275.00","1,010.60",1169.9842197477146,1172.5394803685913,27.149529013775165,False,True,Sell
NESDO,2025-01-26,"2,230.20","2,333.00","2,230.20",2326.9,,4416.0,"2,641.00","1,492.10",2264.4826818498327,2262.4673282755343,65.65602809725817,True,False,Buy
ICFCD83,2025-01-22,"1,213.00","1,213.00","1,213.00",1213.0,,25.0,"1,325.00","1,070.00",1267.6179229636477,1269.3865212771093,3.3613445378151283,False,True,Sell
PRIN,2025-01-21,970,"1,020.00",970,998.0,,30513.0,"1,113.00",705,972.6995868108893,972.0230917437153,58.629757162179764,True,False,Buy
BNL,2025-01-21,"18,000.00","18,000.00","18,000.00",18000.0,,20.0,"23,765.60","6,360.20",16609.62093379275,16577.10823208765,68.53525660021245,True,False,Buy
LBBLD89,2025-01-21,"1,125.60","1,125.60","1,082.00",1082.0,,573.0,"1,270.00","1,000.00",1211.5309986665181,1214.2262541175235,12.127870173709582,False,True,Sell
NMBD89/90,2025-01-20,"1,174.00","1,174.00","1,174.00",1174.0,,55.0,"1,206.00","1,027.00",1134.3524438432,1132.8472168656763,57.28890976036119,True,False,Buy
MDB,2024-12-31,635,641,585,600.0,,72706.0,843.5,375,705.3445491288451,708.097192468807,25.38048612830059,False,True,Sell
BARUN,2024-12-29,400,405,390.3,390.3,,51003.0,472,211,411.9900919584504,412.48132817158,18.226603700593117,False,True,Sell
ICFCPO,2024-12-27,369,369,369,369.0,,200.0,369,369,281.621104687658,278.6297553428162,61.58871300989752,True,False,Buy
NIFRAP,2024-12-24,103,103,101,101.0,,35000.0,111,101,110.04761904761905,110.60784313725492,0.0,False,True,Sell
RAWA,2024-12-21,800.7,800.7,755,760.0,,6835.0,950.6,399.9,794.4066627062368,795.6346879379915,14.447793222786714,False,True,Sell
UMHL,2024-12-20,320.4,326.8,320,321.0,,44364.0,394,198,333.710082591909,334.4916438445531,29.43327698461846,False,True,Sell
LBBL,2024-12-18,496.1,500,481.1,482.4,,19672.0,560,361,498.79165639020204,498.8161417436328,18.674691319724516,False,True,Sell
MATRIP,2024-12-16,782.1,782.1,782.1,782.1,,6162.0,798,782.1,796.4857119605655,797.3764696308211,0.0,False,True,Sell
