Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
NUBL,Nirdhan Utthan Bank,Microcredit,699.00,18.26 Ar,+0.43%,-1.41%,-1.41%,+2.33%,+7.99%,-10.75%,8.73,80.06,3.28,"17,86,797.27","8,77,500.64",+103.62%,"9,13,706.75","4,33,956.57",+110.55%,"1,19,738.14","1,26,176.35",-5.10%,8.73,19.32,-54.81%,213.17,221.52,-3.77%,"2,88,58,960.64","2,82,05,082.59",+2.32%,"2,30,12,275.02","2,24,18,765.81",+2.65%,"27,42,683.74","26,12,079.75",+5.00%,"31,04,001.88","31,74,237.03",-2.21%
NWCL,Nepal Warehousing Company Limited,Trading,880.00,6.05 Ar,+0.23%,-6.28%,+4.53%,+11.68%,-14.23%,+283.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYADI,Nyadi Hydropower Limited,Hydro Power,405.00,6.08 Ar,+1.50%,0.00%,+4.38%,+4.41%,-53.34%,+30.43%,14.05,28.82,6.03,"4,37,821.00","1,70,399.00",+156.94%,"2,85,160.00","95,620.00",+198.22%,"1,15,946.00","-7,698.00","-1,606.18%",14.05,-1.87,-853.09%,67.13,61.36,+9.40%,"57,68,005.00","56,61,725.00",+1.88%,"46,60,436.00","46,49,324.00",+0.24%,"16,50,000.00","16,50,000.00",0.00%,"-5,42,432.00","-6,37,599.00",-14.93%
OHL,Oriental Hotels,Hotels,708.00,8.39 Ar,-0.14%,-2.48%,+1.43%,+0.43%,-20.11%,+43.47%,-4.63,-152.86,2.16,"4,91,777.97","2,21,968.06",+121.55%,"1,00,965.59","4,579.17","+2,104.89%","-27,431.45","-29,555.79",-7.19%,-4.63,-9.98,-53.59%,328.33,328.16,+0.05%,"59,75,791.13","59,68,164.42",+0.13%,"20,86,682.76","20,81,180.38",+0.26%,"11,84,494.96","11,84,494.96",0.00%,"27,04,613.41","27,02,489.07",+0.08%
OMPL,Om Megashree Pharmaceuticals Limited,Manufacturing And Processing,"1,333.00",8.00 Ar,-0.22%,-5.33%,-1.62%,+17.65%,+348.82%,+348.82%,-15.38,-86.64,13.32,"51,612.19","2,77,960.51",-81.43%,"32,844.39","1,79,815.96",-81.73%,"-23,077.11","8,928.36",-358.47%,-15.38,1.49,"-1,133.88%",100.09,103.94,-3.70%,"14,52,917.65","14,09,104.70",+3.11%,"8,52,384.70","7,85,494.65",+8.52%,"6,00,000.00","6,00,000.00",0.00%,532.95,"23,610.05",-97.74%
PBD88,10% Prime Debenture 2088,Bond,"1,210.00",2.11 Ar,+1.42%,+1.25%,-3.20%,-0.73%,+7.08%,+23.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBLD84,10% Prabhu Bank Debenture 2084,Bond,"1,112.00",0.00,+1.92%,+2.68%,-1.33%,+0.45%,+4.12%,+5.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBLD87,8.5% Prabhu Bank Debenture 2087,Bond,"1,099.00",0.00,-0.09%,+1.46%,+2.23%,-2.74%,+3.48%,+9.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBL,Prime Commercial Bank,Commercial Banks,236.00,45.79 Ar,+0.85%,+0.08%,-0.46%,+6.28%,+6.28%,-30.26%,19.50,12.10,1.42,"1,12,18,395.39","58,96,339.62",+90.26%,"46,53,314.97","24,07,447.60",+93.29%,"20,43,378.30","12,58,430.07",+62.38%,19.50,25.94,-24.83%,165.80,179.32,-7.54%,"31,96,78,211.20","31,66,29,560.50",+0.96%,"28,49,36,107.50","28,18,36,609.40",+1.10%,"2,09,54,781.77","1,94,02,575.72",+8.00%,"1,37,87,321.87","1,53,90,375.41",-10.42%
PFL,Pokhara Finance,Finance,377.90,4.09 Ar,+0.77%,-1.84%,+5.59%,-0.55%,-6.16%,+51.91%,43.20,8.75,4.83,"2,79,965.87","1,49,151.19",+87.71%,"67,374.06","33,841.37",+99.09%,"2,33,828.44","-64,523.68",-462.39%,43.20,-23.84,-281.20%,78.22,48.08,+62.69%,"84,61,653.70","83,23,487.76",+1.66%,"76,14,902.14","78,03,018.04",-2.41%,"10,82,556.61","10,82,556.61",0.00%,"-2,35,805.04","-5,62,086.89",-58.05%
