Symbol,Date,Open,High,Low,Close,Percent Change,Volume,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
DEVBANK,2024-05-02,4207.11,4287.98,4100.98,4110.51,-2.04 %,417902370.0,3968.4253128772198,3966.142682779305,58.98875413527203,192450287.2,8.423172962464651,2.566103752386698,True
FOWAD,2024-04-07,1155.0,1169.0,1136.0,1140.0,0.35 %,6827.0,1093.5324625431506,1091.003127418,61.70212765957447,4828.366666666667,1.3487664399273853,0.44945026740938376,True
TRH,2024-04-01,778.0,851.7,778.0,851.0,7.25 %,10786.0,795.0324130673472,793.0706575687748,63.27433758680816,7067.566666666667,2.07285452974329,0.7462545143483112,True
NEPSE,2024-03-13,2123.91,2124.08,2093.89,2108.72,-0.11 %,4248523300.0,2045.3656807849036,2042.2154094517261,60.12425825903007,3289212902.4,3.10896767559002,1.0599879823352694,True
AVYAN,2024-03-13,665.0,678.0,639.0,649.0,-1.82 %,8388.0,608.7651538619805,608.3837907446192,63.37557340056565,3650.3,1.9539270300964744,0.5826223783471278,True
SMB,2024-03-10,985.2,1061.0,985.2,1050.0,8.71 %,3257.0,974.3841692673892,973.0583653428516,64.40677369952756,412.73333333333335,1.4427683802654656,0.46682581572615617,True
BBC,2024-03-03,4081.0,4320.0,3884.0,4000.0,-3.87 %,1287.0,3769.418005000328,3756.1596198453094,63.04425937940495,599.8333333333334,18.65061284895819,6.275041574603165,True
NTC,2024-02-05,870.0,951.5,865.1,951.5,10.00 %,30479.0,889.4308013542794,887.7053222443926,66.60459593659617,44894.8,0.34352957150586005,0.12158806971779086,True
NIMB,2024-01-17,183.7,189.6,183.0,184.5,0.44 %,264879.0,178.36995688499525,178.31034369023712,57.950524891220546,97400.76666666666,0.16584813329928352,0.04614711692698279,True
CYCL,2024-01-17,1115.3,1251.8,1115.3,1198.0,5.27 %,20606.0,1072.9136741932512,1066.0730298801811,65.47085201793722,5925.733333333334,4.563154709880564,1.643850995843286,True
GBIME,2024-01-17,213.5,214.0,205.8,208.5,-0.43 %,230444.0,203.44225657975136,203.15956396985638,60.53640832323875,141128.83333333334,0.2717029963107052,0.09314487955147684,True
SANIMA,2024-01-16,256.0,265.5,256.0,265.5,2.91 %,87906.0,253.90196344290118,253.57797042125716,49.776772181604045,41737.833333333336,0.48044347014300115,0.15953904406996458,True
MDB,2024-01-14,422.9,422.9,410.0,415.0,0.00 %,16911.0,402.06455129209047,401.5728357748726,48.88392826732316,11860.233333333334,1.1327000339221285,0.38134325904795785,True
