Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%
GSY,9.15,8.7,10.46,5.17,-12.52
HHL,325.0,309.0,416.6,5.18,-21.99
GRDBL,969.5,921.5,1320.0,5.21,-26.55
SLCF,9.05,8.6,10.7,5.23,-15.42
LSH12,9.0,8.55,10.0,5.26,-10.0
MBLD87,1127.0,1070.0,1171.0,5.33,-3.76
SANVI,564.7,536.0,1060.0,5.35,-46.73
NMFBS,1110.0,1051.9,1370.0,5.52,-18.98
NICAD85/86,1140.0,1079.0,1264.0,5.65,-9.81
PCBL,237.8,225.0,275.9,5.69,-13.81
SBD89,1200.0,1135.1,1320.0,5.72,-9.09
CBBL,933.0,882.0,1093.4,5.78,-14.67
PBLD87,1102.2,1042.0,1150.0,5.78,-4.16
SWBBL,667.0,630.5,890.0,5.79,-25.06
KMCDB,778.0,735.0,1189.3,5.85,-34.58
HDL,1162.0,1097.6,1459.0,5.87,-20.36
BBC,4050.0,3825.0,5600.0,5.88,-27.68
RBBF40,9.3,8.78,10.36,5.92,-10.23
PMHPL,304.0,287.0,428.0,5.92,-28.97
RSDC,613.0,578.7,763.0,5.93,-19.66
AKPL,241.0,227.5,317.0,5.93,-23.97
MDB,562.0,530.5,705.8,5.94,-20.37
SHINE,405.0,382.0,449.7,6.02,-9.94
BARUN,310.0,292.1,401.5,6.13,-22.79
BOKL,207.3,195.2,688.0,6.2,-69.87
KSBBLD87,1112.2,1047.0,1229.0,6.23,-9.5
ACLBSL,880.0,827.9,1100.0,6.29,-20.0
DHPL,270.0,254.0,345.0,6.3,-21.74
SAND2085,1150.0,1081.7,1245.0,6.31,-7.63
NMBUR93/94,990.8,932.0,1000.0,6.31,-0.92
NBLD87,1080.0,1015.5,1225.0,6.35,-11.84
CZBIL,194.9,183.0,238.6,6.5,-18.32
NICFC,8.92,8.37,9.89,6.57,-9.81
EBLD85,1129.8,1060.0,1250.0,6.58,-9.62
JLI,351.9,330.1,998.0,6.6,-64.74
MHNL,237.8,223.0,324.0,6.64,-26.6
LSL,216.9,203.0,244.0,6.85,-11.11
PBD88,1181.0,1105.0,1285.0,6.88,-8.09
STC,5168.0,4832.0,6335.9,6.95,-18.43
MKHL,489.0,457.0,915.0,7.0,-46.56
SPL,648.9,606.4,1000.0,7.01,-35.11
BNL,14850.0,13872.8,16921.0,7.04,-12.24
RLFL,427.0,398.0,514.9,7.29,-17.07
NABILD87,1116.0,1040.02,1200.0,7.31,-7.0
SADBL,404.0,376.0,463.0,7.45,-12.74
PURE,759.0,706.2,1262.0,7.48,-39.86
GFCL,568.0,528.3,738.0,7.51,-23.04
NBBD2085,1160.7,1078.6,1206.3,7.61,-3.78
HATHY,621.0,577.0,1280.0,7.63,-51.48
MAKAR,426.0,395.7,629.3,7.66,-32.31
SNMAPO,180.0,167.0,180.0,7.78,0.0
ICFCD89,1100.0,1020.0,1140.0,7.84,-3.51
LBLD88,1122.0,1040.0,1166.0,7.88,-3.77
BNT,11505.0,10660.0,12760.0,7.93,-9.84
LLBS,885.0,819.4,1082.0,8.01,-18.21
RFPL,331.0,306.0,464.2,8.17,-28.69
SCB,644.0,594.9,712.6,8.25,-9.63
SFEF,9.63,8.89,10.65,8.32,-9.58
NMBPO,133.3,123.0,136.0,8.37,-1.99
BOKD86,1111.0,1025.1,1145.0,8.38,-2.97
GLH,246.5,227.4,328.2,8.4,-24.89
GCIL,342.0,315.5,510.0,8.4,-32.94
GUFL,500.0,460.6,644.0,8.55,-22.36
SBLD89,1293.5,1190.0,1450.0,8.7,-10.79
TSHL,335.0,308.1,900.0,8.73,-62.78
NBF2,9.67,8.89,10.95,8.77,-11.69
MNMF1,9.29,8.53,10.4,8.91,-10.67
CZBILP,109.0,100.0,111.0,9.0,-1.8
CIZBD86,1214.9,1112.3,1320.9,9.22,-8.02
LBBL,473.0,433.0,580.0,9.24,-18.45
RMF1,9.45,8.65,11.02,9.25,-14.25
SPHL,522.0,477.1,708.0,9.41,-26.27
ENL,833.9,762.0,1078.0,9.44,-22.64
SHL,508.0,464.0,575.0,9.48,-11.65
LUK,9.83,8.97,10.91,9.59,-9.9
SBIBD86,1152.1,1050.0,1222.0,9.72,-5.72
SBI,399.0,363.0,441.0,9.92,-9.52
CKHL,577.5,525.0,804.0,10.0,-28.17
NICBF,9.3,8.45,11.2,10.06,-16.96
HPPL,375.0,340.1,605.0,10.26,-38.02
HEI,505.0,458.0,610.0,10.26,-17.21
MMF1,9.07,8.22,10.16,10.34,-10.73
SEF,9.49,8.6,11.53,10.35,-17.69
EBLEB89,1100.0,996.1,1133.0,10.43,-2.91
BFC,454.9,411.5,562.0,10.55,-19.06
MBLEF,9.58,8.63,10.89,11.01,-12.03
CHDC,2184.0,1967.0,2717.0,11.03,-19.62
GBIME,243.1,218.9,270.6,11.06,-10.16
UPPER,184.5,166.0,242.6,11.14,-23.95
RADHI,688.0,618.8,940.0,11.18,-26.81
HURJA,228.0,204.6,312.1,11.44,-26.95
AVYAN,1010.0,906.0,1366.0,11.48,-26.06
RMF2,9.81,8.8,10.71,11.48,-8.4
SADBLP,220.0,197.0,234.0,11.68,-5.98
KSY,9.19,8.21,10.26,11.94,-10.43
SHEL,293.5,262.0,361.0,12.02,-18.7
C30MF,9.75,8.7,10.45,12.07,-6.7
DORDI,239.0,213.1,327.4,12.15,-27.0
USHL,525.0,468.1,945.0,12.16,-44.44
MSLB,1224.0,1089.9,1634.0,12.3,-25.09
SHINED,1125.0,1000.0,1200.0,12.5,-6.25
JBBL,332.0,295.0,395.0,12.54,-15.95
KBLD90,1341.8,1187.0,1500.0,13.04,-10.55
KEF,9.41,8.31,11.3,13.24,-16.73
CREST,1117.0,985.2,1588.0,13.38,-29.66
NLO,277.4,244.33,293.2,13.53,-5.39
UMHL,563.0,495.0,706.0,13.74,-20.25
USHEC,492.0,432.0,539.1,13.89,-8.74
NABIL,536.8,471.0,568.0,13.97,-5.49
RHGCL,248.0,217.2,353.0,14.18,-29.75
GIBF1,10.62,9.3,11.67,14.19,-9.0
GBBL,420.7,367.4,446.0,14.51,-5.67
NABBC,758.4,662.0,1835.0,14.56,-58.67
CMF2,9.9,8.64,10.86,14.58,-8.84
NBF3,9.58,8.35,10.67,14.73,-10.22
NTC,875.0,762.5,942.5,14.75,-7.16
SAGF,10.1,8.79,11.31,14.9,-10.7
MEN,615.0,535.0,683.4,14.95,-10.01
