Symbol,Date,Open,High,Low,Close,Volume
NESDO,2025-01-23,2260.0,2293.4,2250.9,2260.0,5577106.0
NFS,2025-01-23,766.0,790.0,742.0,743.0,58915538.4
NGPL,2025-01-23,270.0,290.6,270.0,285.0,140057050.7
NHDL,2025-01-23,935.0,940.0,885.0,930.0,25813111.9
NHPC,2025-01-23,224.3,225.9,218.0,218.8,20789965.8
NIBLGF,2025-01-23,8.6,8.65,8.51,8.51,6017.0
NIBLSTF,2025-01-23,8.56,8.56,8.4,8.45,11871.0
NIBSF2,2025-01-23,8.45,8.45,8.29,8.4,136691.4
NICA,2025-01-23,369.0,371.8,364.3,366.0,21896885.1
NICAD8283,2025-01-23,1198.0,1198.0,1198.0,1198.0,11980.0
NICBF,2025-01-23,9.35,9.35,9.17,9.17,5520.0
NICD83/84,2025-01-23,1135.0,1135.0,1135.0,1112.3,1112.3
NICD88,2025-01-23,1023.0,1023.0,1023.0,1023.0,73656.0
NICFC,2025-01-23,8.89,9.14,8.89,9.14,44347.0
NICGF2,2025-01-23,8.51,9.0,8.51,9.0,27158.0
NICL,2025-01-23,1011.0,1015.0,999.0,1008.0,10536703.4
NICLBSL,2025-01-23,657.0,659.9,650.1,653.0,4540478.1
NICSF,2025-01-23,9.2,9.95,9.2,9.65,485512.86
NIFRA,2025-01-23,269.0,272.0,264.0,265.0,90031811.96
NIL,2025-01-23,942.0,943.9,936.5,940.9,22266547.2
NIMB,2025-01-23,214.0,214.9,210.0,211.0,16395358.6
NIMBPO,2025-01-23,164.5,164.5,157.0,157.1,668637.0
NLG,2025-01-23,1104.5,1105.0,1085.0,1099.0,163567860.4
NLIC,2025-01-23,775.2,775.2,760.0,764.0,42395910.7
NLICL,2025-01-23,622.0,622.8,601.2,601.2,19019068.8
NLICP,2025-01-23,452.0,452.0,452.0,452.0,4520000.0
NMB,2025-01-23,242.2,246.9,240.0,240.1,9570586.4
NMBMF,2025-01-23,685.0,702.0,685.0,702.0,1419929.2
NMFBS,2025-01-23,1321.0,1321.0,1281.0,1294.0,3118202.3
NMLBBL,2025-01-23,675.0,675.0,661.0,665.7,7638478.9
NMLBBLP,2025-01-23,366.0,366.0,366.0,366.0,366000.0
NRIC,2025-01-23,938.4,938.4,886.0,917.0,139238418.8
NRM,2025-01-23,505.0,539.0,505.0,537.0,131721391.2
NRN,2025-01-23,1231.9,1231.9,1193.0,1210.0,213875177.0
NSIF2,2025-01-23,10.06,10.27,10.06,10.26,29217.55
NTC,2025-01-23,920.0,934.0,920.0,921.0,24120163.3
NUBL,2025-01-23,682.1,690.0,682.1,686.8,5323933.3
NWCL,2025-01-23,1049.0,1049.0,990.0,1016.0,9824247.4
NYADI,2025-01-23,592.9,609.0,591.0,593.0,72718359.5
OHL,2025-01-23,900.0,945.0,900.0,916.0,6266080.8
PBD85,2025-01-23,1030.0,1030.0,1030.0,1030.0,25750.0
PBD88,2025-01-23,1111.0,1116.0,1111.0,1116.0,91387.0
