Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
AVYAN,2026-01-20,965.0,970.0,956.0,958.7,4178.0,0.39,1366.0,906.0,943.5846160549224,942.9736151309145,60.92628484337899,0.09294116891482297,0.7336095497412771,0.2609845758062647,True
RIDI,2026-01-18,220.8,224.5,219.2,224.4,111924.0,1.63,380.1,216.0,221.24294431424292,221.10328758263503,60.593231297619106,0.10062500392086804,0.03590729612291739,0.014115926469537498,True
SRLI,2026-01-18,404.0,404.0,398.0,400.5,19709.0,0.15,437.7,383.2,396.0757299706096,395.8837402152149,53.60230420825821,0.07374999870080501,0.32679125911963636,0.11120826560133992,True
GMFIL,2026-01-18,454.7,506.0,454.7,488.0,104242.0,5.2,773.0,0.0,463.4771537498244,463.3119204790653,67.06827727616454,0.28933334661026794,0.4504561302304978,0.1292485362256798,True
RAWA,2026-01-18,710.0,730.0,710.0,730.0,1943.0,1.12,851.7,686.0,714.3857825195396,713.7499645330705,61.53846153846153,0.14312500413507223,0.5393275903269114,0.1802556884831347,True
SIFC,2026-01-14,501.0,514.0,496.1,511.0,32198.0,3.23,795.0,128.0,501.95257404353606,501.42836953847547,57.53920163977636,0.04400000721216202,0.20890707785479207,0.09504458814491272,True
NICD88,2026-01-13,1140.0,1150.0,1140.0,1150.0,175.0,1.77,1153.0,1069.0,1138.0816436407617,1137.530832463042,59.61254031869278,0.23199999332427979,0.19633361096484805,0.08617137542091768,True
MERO,2026-01-13,736.0,742.0,721.0,742.0,7790.0,1.92,860.0,700.7,731.6073901863874,731.1421276386047,53.957784278532934,0.13214286310332163,-0.005949360746535603,-0.010871939110643325,True
LBBL,2026-01-13,490.1,505.0,489.2,496.5,317450.0,1.74,774.0,136.0,472.73500971346203,471.70825982078566,57.42240154787121,0.25866665951907636,1.5531130837145042,0.5555604061865438,True
BHL,2026-01-08,177.4,182.0,174.4,180.8,151089.0,2.49,264.4,172.1,177.29998042832744,177.0846595909542,61.44577759516279,0.18166666260610023,0.07243099464098464,0.030495539614958034,True
BPCL,2026-01-08,752.0,765.0,746.9,764.0,116648.0,0.94,1820.0,250.0,735.7000813557177,735.5247314167934,62.88185242995642,0.12633331815401713,2.463926454738453,0.807363409422328,True
SBLD2091,2026-01-08,1084.0,1105.0,1084.0,1105.0,150.0,2.1,1124.0,1056.4,1102.423053384784,1102.3028622848058,51.30890219662932,0.044999994337558746,0.11522978130733463,0.070055864151891,True
EHPL,2026-01-08,410.0,410.0,400.0,406.0,32623.0,1.0,474.0,386.5,400.8536987894958,400.6064751131391,53.10519282353373,0.12583333253860474,0.5536607897417184,0.19178555673046277,True
MDB,2026-01-07,600.0,607.9,598.0,605.0,26084.0,0.83,1326.0,89.0,581.7578754750969,580.5789883158375,66.41649527979956,0.20499999647339184,1.4740389395006332,0.5174968223048836,True
TSHL,2026-01-06,702.2,785.2,702.2,782.0,47149.0,9.54,900.0,677.2,716.6377437814605,714.5791963779932,68.14734801219116,0.9620000004768372,2.2318976448235164,0.7844929649484357,True
JBBL,2026-01-06,340.9,342.9,335.0,335.9,97912.0,0.27,649.9,70.0,324.1489855608723,323.6129349341087,64.11764952275865,0.24566665763656298,0.6526652776126639,0.22872655414635118,True
RADHI,2026-01-06,751.0,771.0,750.5,764.7,231496.0,1.96,1340.0,125.0,741.3501666736832,740.5798425590774,65.7989935156209,0.0880000039935112,1.115952103405857,0.3978510169123638,True
