Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
RLFL,Reliance Finance,Finance,487.00,5.46 Ar,+3.18%,+1.88%,+11.62%,+17.38%,-8.11%,+182.79%,0.31,1584.87,4.35,369943.0,191756.0,+92.92%,120514.0,65362.0,+84.38%,1723.0,-164827.0,-101.05%,0.31,-58.79,-100.52%,112.03,97.21,+15.25%,10903359.0,10170906.0,+7.20%,9647038.0,9080789.0,+6.24%,1121452.0,1121452.0,0.00%,134869.0,-31333.0,-530.44%,0.0028,7.6788
RMF1,RBB Mutual Fund 1,Mutual Fund,9.82,1.23 Ar,+0.20%,+0.82%,+1.76%,+9.23%,+32.83%,+19.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMF2,RBB Mutual Fund 2,Mutual Fund,10.13,85.71 Cr,-1.17%,+1.20%,+2.63%,+8.81%,+26.85%,+25.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNLI,Reliable Nepal Life Insurance Limited,Life Insurance,495.00,25.72 Ar,+3.12%,-0.80%,+10.00%,+6.17%,+3.47%,+33.56%,15.24,32.49,4.42,3742204.63,1795685.98,+108.40%,976508.62,538597.58,+81.31%,395878.9,258502.17,+53.14%,15.24,19.9,-23.43%,144.97,154.29,-6.04%,23470420.01,22803422.2,+2.92%,15936719.44,14785036.01,+7.79%,5196800.0,5196800.0,0.00%,616682.14,1116652.16,-44.77%,0.1051,2.1154
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microcredit,687.00,7.10 Ar,+2.54%,+1.04%,+8.29%,+8.36%,-2.41%,+15.42%,14.83,46.33,5.49,238667.38,116802.01,+104.33%,107624.89,44832.09,+140.06%,76672.48,21107.9,+263.24%,14.83,8.17,+81.62%,125.15,128.04,-2.26%,6400793.08,6608066.19,-3.14%,5106704.85,5284040.46,-3.36%,1034064.42,1034064.42,0.00%,260023.81,289961.31,-10.32%,0.1185,3.9462
RSML,Reliance Spinning Mills Limited,Manufacturing And Processing,"1,250.09",23.75 Ar,+9.99%,+39.94%,+216.24%,+278.82%,+278.82%,+278.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSY,Reliable Samriddhi Yojana,Mutual Fund,10.45,1.25 Ar,0.00%,+2.55%,+4.50%,+13.22%,+15.21%,+15.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power,680.20,3.86 Ar,+0.03%,-2.69%,+4.81%,+3.61%,+0.96%,+180.02%,18.59,36.59,4.68,91138.83,53319.58,+70.93%,68095.54,41056.76,+65.86%,52731.28,32937.39,+60.10%,18.59,23.22,-19.95%,145.43,143.28,+1.50%,995968.23,982363.95,+1.38%,170925.38,169484.23,+0.85%,567322.2,567322.2,0.00%,257720.64,245557.52,+4.95%,0.1278,0.2072
SABBL,Salapa Bikas Bank Limited,Development Bank,"1,388.60",7.25 Ar,+10.00%,+46.38%,+247.76%,+320.79%,+320.79%,+320.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADBL,Shangrila Development Bank,Development Bank,452.00,16.07 Ar,+2.73%,+2.49%,+11.19%,+16.62%,+16.74%,+214.16%,16.21,27.89,2.95,2336904.13,1216810.9,+92.05%,1088072.45,549116.65,+98.15%,302597.84,88211.29,+243.04%,16.21,9.92,+63.35%,153.24,157.82,-2.90%,63403926.81,62562404.41,+1.35%,57681869.33,56950099.1,+1.28%,3734068.51,3556255.72,+5.00%,1987988.98,2056049.59,-3.31%,0.1058,10.0806
