"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEL","2024-08-06","290","308.9","275.1","284.9","-1.08 %","469,972.00"
"MEL","2024-08-05","283.6","295.8","274.5","288","3.52 %","157,040.00"
"MEL","2024-08-01","291","291","276","278.2","-4.40 %","167,436.00"
"MEL","2024-07-31","293.9","305","285","291","0.97 %","148,320.00"
"MEL","2024-07-30","287.1","291","276","288.2","2.38 %","174,015.00"
"MEL","2024-07-29","272","291.7","270","281.5","3.49 %","308,350.00"
"MEL","2024-07-28","280.3","290","266.1","272","-1.05 %","98,514.00"
"MEL","2024-07-25","266","280","262","274.9","2.57 %","191,830.00"
"MEL","2024-07-24","287.6","287.6","266.1","268","-4.96 %","212,540.00"
"MEL","2024-07-23","265.1","285","264","282","6.37 %","197,248.00"
"MEL","2024-07-22","269.2","271","256","265.1","0.42 %","166,893.00"
"MEL","2024-07-21","255","269.3","247.1","264","5.39 %","235,042.00"
"MEL","2024-07-18","253.5","257.8","245.2","250.5","0.60 %","194,916.00"
"MEL","2024-07-17","252","257","244.5","249","-0.80 %","184,012.00"
"MEL","2024-07-16","237.5","251.7","230","251","7.31 %","237,403.00"
"MEL","2024-07-15","237.6","237.6","228","233.9","0.39 %","66,472.00"
"MEL","2024-07-14","231.2","237","227","233","2.78 %","109,431.00"
"MEL","2024-07-11","222.4","229","222.4","226.7","1.25 %","60,110.00"
"MEL","2024-07-10","220.1","225","220.1","223.9","0.04 %","37,703.00"
"MEL","2024-07-09","218.5","223.8","218.5","223.8","0.40 %","51,914.00"
"MEL","2024-07-08","227.7","227.7","219","222.9","-0.22 %","33,801.00"
"MEL","2024-07-07","215.8","227.9","215.8","223.4","1.45 %","30,779.00"
"MEL","2024-07-04","228","228","219.7","220.2","-1.70 %","37,140.00"
"MEL","2024-07-03","228.4","228.4","219","224","-0.44 %","33,013.00"
"MEL","2024-07-02","225.2","238","221","225","1.90 %","36,173.00"
"MEL","2024-07-01","215","223","215","220.8","0.82 %","17,329.00"
"MEL","2024-06-30","217","223.3","216","219","0.00 %","33,859.00"
"MEL","2024-06-27","220","225","219","219","-1.79 %","19,722.00"
"MEL","2024-06-26","223","230.5","221","223","-1.50 %","24,964.00"
"MEL","2024-06-25","218.3","227.4","218.3","226.4","1.71 %","37,908.00"
"MEL","2024-06-24","221","229","221","222.6","-1.07 %","20,731.00"
"MEL","2024-06-23","222.4","226.8","221.4","225","0.45 %","28,520.00"
"MEL","2024-06-20","222.5","229.3","222.5","224","-1.32 %","22,500.00"
"MEL","2024-06-19","221","229","221","227","0.89 %","37,941.00"
"MEL","2024-06-18","227.1","229.5","223.5","225","-0.92 %","32,253.00"
"MEL","2024-06-16","226","233.5","226","227.1","-1.52 %","52,112.00"
"MEL","2024-06-13","223.5","239","223.5","230.6","1.14 %","43,419.00"
"MEL","2024-06-12","228.2","235","226.9","228","-2.06 %","69,691.00"
"MEL","2024-06-11","226","234","224.5","232.8","3.01 %","73,298.00"
"MEL","2024-06-10","216.2","228.4","216.2","226","2.45 %","46,319.00"
"MEL","2024-06-09","219.6","229","219.6","220.6","-1.52 %","27,174.00"
"MEL","2024-06-06","218.7","230","218.7","224","0.45 %","47,041.00"
"MEL","2024-06-05","222.6","229","222.6","223","-1.76 %","26,615.00"
"MEL","2024-06-04","228","229.8","225","227","-0.44 %","31,038.00"
"MEL","2024-06-03","227.3","234","225.1","228","0.35 %","33,773.00"
"MEL","2024-06-02","228","232","225","227.2","-0.35 %","29,091.00"
"MEL","2024-05-30","225","235","225","228","0.93 %","78,269.00"
"MEL","2024-05-29","227","231.5","224","225.9","-0.48 %","46,518.00"
"MEL","2024-05-27","228","230","226","227","-0.44 %","24,080.00"
"MEL","2024-05-26","228.1","232.5","227","228","-1.08 %","57,989.00"
"MEL","2024-05-22","234.9","237","229","230.5","-0.65 %","42,188.00"
"MEL","2024-05-21","225","235.5","225","232","2.07 %","69,784.00"
"MEL","2024-05-20","234.6","238","227","227.3","-1.17 %","49,177.00"
"MEL","2024-05-19","228","235","226","230","1.01 %","43,449.00"
"MEL","2024-05-16","230","233.5","226.2","227.7","-0.57 %","28,970.00"
"MEL","2024-05-15","231","236.7","228","229","-2.55 %","46,699.00"
"MEL","2024-05-14","230","237.6","226.2","235","2.62 %","77,764.00"
"MEL","2024-05-13","227","232.7","226.4","229","-0.74 %","32,537.00"
"MEL","2024-05-12","234.6","234.6","225","230.7","0.30 %","31,487.00"
"MEL","2024-05-09","226.4","231.5","224.2","230","-0.43 %","41,941.00"
"MEL","2024-05-08","233","234.2","226","231","0.57 %","39,245.00"
"MEL","2024-05-07","230","238","228.5","229.7","-0.99 %","38,161.00"
"MEL","2024-05-06","234","239.7","229.5","232","-1.61 %","31,841.00"
"MEL","2024-05-05","245","248.1","233","235.8","-3.36 %","82,776.00"
"MEL","2024-05-02","248.8","249.9","243.1","244","0.00 %","123,684.00"
"MEL","2024-04-30","228","247","228","244","5.22 %","177,429.00"
"MEL","2024-04-29","239.4","239.4","228","231.9","-1.24 %","39,436.00"
"MEL","2024-04-28","230","235","227","234.8","2.67 %","48,210.00"
"MEL","2024-04-25","235.1","235.1","226.3","228.7","-0.78 %","16,574.00"
"MEL","2024-04-24","230","237","228","230.5","-0.65 %","21,882.00"
"MEL","2024-04-22","236","238.9","228","232","-1.69 %","41,176.00"
"MEL","2024-04-21","225","238.6","224.1","236","4.29 %","69,489.00"
"MEL","2024-04-18","229","230","224.6","226.3","-1.61 %","25,513.00"
"MEL","2024-04-16","238","238","228","230","-1.71 %","55,542.00"
"MEL","2024-04-15","244","248.9","233","234","-3.86 %","120,664.00"
"MEL","2024-04-14","228.9","243.4","228","243.4","6.24 %","158,240.00"
