Symbol,Latest_Close,52_Week_Low,52_Week_High,Distance_from_Low_%,Distance_from_High_%,Chart_URL
GRDBL,1050.9,944.0,1668.4,11.32,-37.01,https://nepsealpha.com/nepse-chart?symbol=GRDBL
NRN,1478.8,1327.0,2444.0,11.44,-39.49,https://nepsealpha.com/nepse-chart?symbol=NRN
OHL,706.0,633.1,1100.0,11.51,-35.82,https://nepsealpha.com/nepse-chart?symbol=OHL
CBBL,918.0,821.5,1144.8,11.75,-19.81,https://nepsealpha.com/nepse-chart?symbol=CBBL
SIKLES,603.7,540.0,1450.0,11.8,-58.37,https://nepsealpha.com/nepse-chart?symbol=SIKLES
KSBBL,452.0,404.1,588.0,11.85,-23.13,https://nepsealpha.com/nepse-chart?symbol=KSBBL
EBL,664.5,594.0,780.6,11.87,-14.87,https://nepsealpha.com/nepse-chart?symbol=EBL
HPPL,459.9,411.1,711.0,11.87,-35.32,https://nepsealpha.com/nepse-chart?symbol=HPPL
SPHL,533.8,477.1,860.0,11.88,-37.93,https://nepsealpha.com/nepse-chart?symbol=SPHL
NTC,855.0,762.5,996.3,12.13,-14.18,https://nepsealpha.com/nepse-chart?symbol=NTC
RLFL,446.8,398.0,670.0,12.26,-33.31,https://nepsealpha.com/nepse-chart?symbol=RLFL
PHCL,281.0,249.7,707.0,12.54,-60.25,https://nepsealpha.com/nepse-chart?symbol=PHCL
SANIMA,331.5,294.3,391.0,12.64,-15.22,https://nepsealpha.com/nepse-chart?symbol=SANIMA
GLH,256.5,227.4,306.3,12.8,-16.26,https://nepsealpha.com/nepse-chart?symbol=GLH
GVL,479.4,424.0,662.0,13.07,-27.58,https://nepsealpha.com/nepse-chart?symbol=GVL
PRIN,712.9,630.0,1088.8,13.16,-34.52,https://nepsealpha.com/nepse-chart?symbol=PRIN
USHEC,464.0,410.0,700.0,13.17,-33.71,https://nepsealpha.com/nepse-chart?symbol=USHEC
MHNL,255.9,226.0,316.0,13.23,-19.02,https://nepsealpha.com/nepse-chart?symbol=MHNL
KDL,873.0,770.0,1306.3,13.38,-33.17,https://nepsealpha.com/nepse-chart?symbol=KDL
SCBD,1207.0,1064.0,1236.0,13.44,-2.35,https://nepsealpha.com/nepse-chart?symbol=SCBD
NWCL,840.0,740.2,1147.0,13.48,-26.77,https://nepsealpha.com/nepse-chart?symbol=NWCL
SHINED,1135.0,1000.0,1200.0,13.5,-5.42,https://nepsealpha.com/nepse-chart?symbol=SHINED
JOSHI,288.4,254.0,487.0,13.54,-40.78,https://nepsealpha.com/nepse-chart?symbol=JOSHI
ICFC,630.6,555.0,730.9,13.62,-13.72,https://nepsealpha.com/nepse-chart?symbol=ICFC
WNLB,1412.0,1242.1,4115.1,13.68,-65.69,https://nepsealpha.com/nepse-chart?symbol=WNLB
SARBTM,864.4,760.2,1048.0,13.71,-17.52,https://nepsealpha.com/nepse-chart?symbol=SARBTM
SMB,1947.0,1710.1,3309.9,13.85,-41.18,https://nepsealpha.com/nepse-chart?symbol=SMB
MSLB,1288.2,1130.2,1710.0,13.98,-24.67,https://nepsealpha.com/nepse-chart?symbol=MSLB
CORBL,1636.4,1431.0,2800.0,14.35,-41.56,https://nepsealpha.com/nepse-chart?symbol=CORBL
SAHAS,554.0,483.3,705.0,14.63,-21.42,https://nepsealpha.com/nepse-chart?symbol=SAHAS
API,297.8,258.8,335.0,15.07,-11.1,https://nepsealpha.com/nepse-chart?symbol=API
GHL,227.0,197.1,318.0,15.17,-28.62,https://nepsealpha.com/nepse-chart?symbol=GHL
MHL,513.2,445.0,916.9,15.33,-44.03,https://nepsealpha.com/nepse-chart?symbol=MHL
STC,5575.0,4832.0,5800.0,15.38,-3.88,https://nepsealpha.com/nepse-chart?symbol=STC
MDB,613.0,530.5,735.0,15.55,-16.6,https://nepsealpha.com/nepse-chart?symbol=MDB
BARUN,338.9,292.1,589.0,16.02,-42.46,https://nepsealpha.com/nepse-chart?symbol=BARUN
GMFIL,457.0,393.1,579.1,16.26,-21.08,https://nepsealpha.com/nepse-chart?symbol=GMFIL
ILBS,924.9,795.2,1311.0,16.31,-29.45,https://nepsealpha.com/nepse-chart?symbol=ILBS
GUFL,536.1,460.6,685.4,16.39,-21.78,https://nepsealpha.com/nepse-chart?symbol=GUFL
SBI,424.0,363.0,452.0,16.8,-6.19,https://nepsealpha.com/nepse-chart?symbol=SBI
MEHL,437.9,372.4,663.0,17.59,-33.95,https://nepsealpha.com/nepse-chart?symbol=MEHL
HDHPC,191.1,162.0,225.9,17.96,-15.41,https://nepsealpha.com/nepse-chart?symbol=HDHPC
SAPDBL,809.5,686.0,1302.0,18.0,-37.83,https://nepsealpha.com/nepse-chart?symbol=SAPDBL
TSHL,728.0,616.8,989.0,18.03,-26.39,https://nepsealpha.com/nepse-chart?symbol=TSHL
MKHL,770.0,652.0,1027.0,18.1,-25.02,https://nepsealpha.com/nepse-chart?symbol=MKHL
GFCL,625.1,528.3,796.0,18.32,-21.47,https://nepsealpha.com/nepse-chart?symbol=GFCL
LEC,213.0,180.0,263.0,18.33,-19.01,https://nepsealpha.com/nepse-chart?symbol=LEC
