Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change,ROE,D/E Ratio
GFCL,Goodwill Finance,Finance,690.00,6.53 Ar,+1.02%,+1.17%,+8.66%,+20.02%,+4.55%,+196.03%,23.61,29.22,2.69,679424.44,267979.91,+153.54%,304998.81,73340.89,+315.86%,111708.62,37384.7,+198.81%,23.61,15.81,+49.40%,256.65,200.26,+28.16%,16162191.26,15022052.67,+7.59%,13733951.54,13127506.6,+4.62%,946115.2,946115.2,0.00%,1482124.52,948530.87,+56.25%,0.092,5.6559
GHL,Ghalemdi Hydro Limited,Hydro Power,273.50,4.51 Ar,+1.30%,-3.49%,+13.96%,+28.46%,-1.20%,+131.13%,-2.06,-132.53,2.86,69747.43,34479.08,+102.29%,48428.37,16380.79,+195.64%,-17025.37,-17388.07,-2.09%,-2.06,-4.22,-51.04%,95.65,95.63,+0.02%,2267173.39,2470485.67,-8.23%,688902.61,892577.66,-22.82%,1650000.0,1650000.0,0.00%,-71729.22,-72091.99,-0.50%,-0.0215,0.4365
GIBF1,Global IME Balanced Fund-1,Mutual Fund,11.32,1.16 Ar,+0.35%,+2.72%,+6.59%,+9.48%,+17.06%,+55.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,220.30",7.55 Ar,-0.55%,+2.72%,+9.78%,+7.44%,+2.25%,-11.56%,32.67,37.35,6.19,773237.71,373963.25,+106.77%,487691.11,227419.68,+114.45%,105905.61,62179.33,+70.32%,32.67,40.19,-18.70%,197.29,220.09,-10.36%,10868379.45,10557264.19,+2.95%,9589375.83,9195153.05,+4.29%,648297.8,618900.05,+4.75%,630705.82,743211.1,-15.14%,0.1656,7.4975
GLBSL,Gurans Laghubitta Bittiya Sanstha,Microcredit,"1,980.00",2.29 Ar,+0.35%,+2.20%,+3.13%,-1.20%,-15.66%,+115.56%,40.22,49.22,12.43,149387.88,74336.39,+100.96%,87659.35,42946.75,+104.11%,26620.45,14488.97,+83.73%,40.22,50.03,-19.59%,159.33,172.27,-7.51%,2301386.76,2229853.54,+3.21%,2090501.04,2030280.01,+2.97%,132358.05,115849.5,+14.25%,78527.67,83724.03,-6.21%,0.2524,9.913
GLH,GreenLife Hydropower Limited,Hydro Power,308.70,5.56 Ar,+1.55%,+0.19%,+16.93%,+22.99%,+29.15%,-18.76%,2.09,147.75,2.79,0.0,0.0,0.00%,0.0,0.0,0.00%,18804.06,10823.37,+73.74%,2.09,2.41,-13.13%,110.77,110.33,+0.40%,11103418.81,10833627.08,+2.49%,9109569.83,8847758.79,+2.96%,1800000.0,1800000.0,0.00%,193848.98,185868.3,+4.29%,0.0189,4.5688
GMFBS,Ganapati Microfinance Bittiya Sanstha,Microcredit,"1,453.00",2.20 Ar,-1.42%,-0.48%,+2.90%,-4.97%,-7.28%,+9.86%,-4.71,-308.46,7.84,173083.61,86877.38,+99.23%,101950.69,49041.91,+107.88%,-3569.46,11621.77,-130.71%,-4.71,30.67,-115.36%,185.26,195.32,-5.15%,2548499.72,2681064.75,-4.94%,2267732.84,2385052.07,-4.92%,151554.53,151554.53,0.00%,129212.35,144458.15,-10.55%,-0.0254,8.0769
GMFIL,Guheshowori Merchant Bank & Finance,Finance,516.50,5.23 Ar,-1.26%,+3.71%,+12.77%,+12.90%,+3.24%,+181.99%,3.33,155.16,3.14,326454.0,167378.0,+95.04%,106532.0,50370.0,+111.50%,16847.0,-30766.0,-154.76%,3.33,-12.16,-127.38%,164.67,157.35,+4.65%,10065825.0,9998839.0,+0.67%,8399106.0,8406156.0,-0.08%,1012176.0,1012176.0,0.00%,654543.0,580507.0,+12.75%,0.0202,5.0393
GMLI,Guardian Micro Life Insurance Limited,Life Insurance,"1,774.80",13.31 Ar,+2.00%,+1.13%,+1.48%,+3.67%,-22.37%,+436.03%,3.53,502.16,17.12,271794.79,128200.85,+112.01%,33775.08,514.95,"+6,458.93%",13253.74,7084.62,+87.08%,3.53,3.78,-6.46%,106.91,106.08,+0.78%,1233320.71,1169642.9,+5.44%,431520.59,374011.9,+15.38%,750000.0,750000.0,0.00%,27682.32,22191.8,+24.74%,0.033,0.5382
GRDBL,Green Development Bank Ltd.,Development Bank,"1,174.00",6.69 Ar,-0.42%,+0.69%,+10.77%,+14.21%,-2.51%,+727.67%,3.58,328.37,10.4,252060.06,126750.41,+98.86%,104445.48,46101.86,+126.55%,11002.9,-30156.65,-136.49%,3.58,-21.17,-116.89%,112.86,117.31,-3.79%,6906062.46,7177311.38,-3.78%,6211402.71,6509003.7,-4.57%,615500.0,569698.5,+8.04%,79159.75,98609.18,-19.72%,0.0317,8.9416
