Ticker,Stock Name,Sector,Today's Price,Market Cap,Daily Change (%),Weekly Change (%),Monthly Change (%),3-Month Change (%),Yearly Change (%),5-Year Change (%),EPS (Trailing),P/E Ratio,P/B Ratio,Total Revenue (Latest Quarter),Total Revenue (Previous Quarter),Total Revenue % Change,Gross Profit (Latest),Gross Profit (Previous),Gross Profit % Change,Net Profit (Latest),Net Profit (Previous),Net Profit % Change,Annualized EPS (Latest),Annualized EPS (Previous),Annualized EPS % Change,Book Value per Share (Latest),Book Value per Share (Previous),Book Value per Share % Change,Total Assets (Latest),Total Assets (Previous),Total Assets % Change,Total Liabilities (Latest),Total Liabilities (Previous),Total Liabilities % Change,Paid-up Capital (Latest),Paid-up Capital (Previous),Paid-up Capital % Change,Reserves (Latest),Reserves (Previous),Reserves % Change
CMF2,Citizen Mutual Fund 2,Mutual Fund,9.83,55.05 Cr,-1.70%,-0.71%,+4.57%,+6.50%,+13.08%,+55.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORBL,Corporate Development Bank,Development Bank,"1,779.40",9.34 Ar,-10.00%,+4.36%,+12.62%,+1.68%,-32.26%,+564.96%,4.93,360.91,13.10,"1,00,464.96","56,890.47",+76.59%,"35,690.75","23,452.16",+52.19%,"12,942.22","2,914.53",+344.06%,4.93,2.22,+122.03%,135.79,136.54,-0.55%,"28,33,321.96","27,17,727.00",+4.25%,"21,20,416.89","20,00,899.94",+5.97%,"5,25,000.00","5,25,000.00",0.00%,"1,87,905.07","1,91,827.05",-2.04%
CREST,Crest Micro Life Insurance Limited,Life Insurance,"1,568.70",11.77 Ar,+8.19%,+4.93%,+31.05%,+10.55%,+371.51%,+371.51%,2.98,525.62,14.90,"1,11,950.68","3,90,922.61",-71.36%,"35,386.28","1,38,865.83",-74.52%,"5,595.85","22,709.28",-75.36%,2.98,3.03,-1.43%,110.30,104.51,+5.54%,"11,43,327.53","10,26,754.07",+11.35%,"3,16,068.98","2,42,908.49",+30.12%,"7,50,000.00","7,50,000.00",0.00%,"39,839.82","23,125.31",+72.28%
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,578.00",4.20 Ar,-0.13%,-1.38%,-3.72%,-3.13%,-10.34%,+437.07%,-21.88,-72.12,3.35,"1,85,220.08","8,90,045.92",-79.19%,"75,502.79","4,50,390.32",-83.24%,"-14,573.82","1,17,478.31",-112.41%,-21.88,44.09,-149.62%,471.51,277.17,+70.11%,"73,69,513.44","73,66,206.02",+0.04%,"66,78,831.42","66,27,747.89",+0.77%,"2,66,424.39","2,66,424.39",0.00%,"9,89,794.07","4,72,033.73",+109.69%
CZBIL,Citizen Bank International,Commercial Banks,199.10,29.41 Ar,+0.10%,-1.92%,+0.15%,-1.31%,-0.37%,-4.35%,4.63,43.02,1.33,"77,23,863.53","40,66,326.62",+89.95%,"31,44,546.13","16,66,263.49",+88.72%,"3,58,858.63","-2,20,411.17",-262.81%,4.63,-5.97,-177.53%,149.79,153.30,-2.29%,"24,56,53,491.70","24,63,48,568.20",-0.28%,"22,24,24,797.50","22,37,07,044.50",-0.57%,"1,55,07,463.61","1,47,69,012.97",+5.00%,"77,21,230.59","78,72,510.67",-1.92%
DDBL,Deprosc Laghubitta,Microcredit,840.00,15.69 Ar,0.00%,-0.98%,+5.00%,+9.07%,+14.30%,-5.44%,43.29,19.40,3.80,"9,27,017.52","34,95,545.35",-73.48%,"5,33,543.99","18,35,858.44",-70.94%,"2,02,215.58","6,91,154.54",-70.74%,43.29,36.99,+17.03%,221.21,208.84,+5.92%,"2,71,35,989.25","2,71,23,861.70",+0.04%,"2,30,03,063.34","2,32,22,065.89",-0.94%,"18,68,285.70","18,68,285.70",0.00%,"22,64,640.21","20,33,510.12",+11.37%
DHEL,Daramkhola Hydro Energy Limited,Hydro Power,760.90,7.84 Ar,-0.28%,+2.84%,+30.09%,+71.99%,+71.99%,+71.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power,307.50,81.18 Cr,+0.72%,-2.35%,+5.45%,+2.02%,-3.61%,+167.39%,17.51,17.56,39.56,"34,963.00","89,929.00",-61.12%,"33,151.00","84,212.00",-60.63%,"11,555.00","-4,554.00",-353.73%,17.51,-1.73,"-1,114.93%",7.77,3.40,+128.90%,"7,78,457.00","7,83,148.00",-0.60%,"7,57,938.00","7,74,184.00",-2.10%,"2,64,000.00","2,64,000.00",0.00%,"-2,43,481.00","-2,55,036.00",-4.53%
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microcredit,"1,369.90",1.82 Ar,-0.37%,-0.98%,+4.24%,-2.84%,-28.73%,+662.33%,7.80,175.65,7.98,"73,056.81","3,26,102.90",-77.60%,"34,600.27","1,49,081.38",-76.79%,"2,595.13","15,208.42",-82.94%,7.80,11.43,-31.75%,171.75,169.57,+1.28%,"26,41,878.21","26,13,398.39",+1.09%,"24,13,279.31","23,87,695.66",+1.07%,"1,33,100.00","1,33,100.00",0.00%,"95,498.90","92,602.73",+3.13%
DOLTI,Dolti Power Company Limited,Hydro Power,530.00,2.84 Ar,-2.73%,+0.95%,+4.33%,+2.16%,-35.84%,+84.60%,14.23,37.24,8.60,"47,753.56","85,121.14",-43.90%,"43,309.63","71,329.55",-39.28%,"19,089.06","-28,884.03",-166.09%,14.23,-5.38,-364.35%,61.63,58.07,+6.12%,"10,85,123.57","10,41,986.02",+4.14%,"7,54,501.13","7,30,434.29",+3.29%,"5,36,486.00","5,36,486.00",0.00%,"-2,05,863.56","-2,24,934.27",-8.48%
